('waste_digestion_cubicmeter', 'additions', 2, 'skipped', 0, 'duration:', '0:00:00.027910')
('waste_total_kilogram', 'additions', 25343, 'skipped', 0, 'duration:', '0:06:19.020449')
('waste_total_cubicmeter', 'additions', 2969, 'skipped', 0, 'duration:', '0:00:43.846295')
('waste_openburn_kilogram', 'additions', 548, 'skipped', 0, 'duration:', '0:00:07.780978')
('waste_digestion_kilogram', 'additions', 2, 'skipped', 0, 'duration:', '0:00:00.051309')
('waste_non_hazardous_cubicmeter', 'additions', 2585, 'skipped', 0, 'duration:', '0:00:37.059180')
('waste_incineration_cubicmeter', 'additions', 1, 'skipped', 0, 'duration:', '0:00:00.023496')
('waste_hazardous_kilogram', 'additions', 1221, 'skipped', 0, 'duration:', '0:00:17.885185')
('waste_compost_kilogram', 'additions', 8, 'skipped', 0, 'duration:', '0:00:00.112088')
('waste_non_hazardous_kilogram', 'additions', 24122, 'skipped', 0, 'duration:', '0:05:59.598045')
('waste_dump_kilogram', 'additions', 1132, 'skipped', 0, 'duration:', '0:00:16.664719')
('waste_hazardous_cubicmeter', 'additions', 384, 'skipped', 0, 'duration:', '0:00:05.852892')
('waste_incineration_kilogram', 'additions', 1435, 'skipped', 0, 'duration:', '0:00:21.954900')
('waste_recycled_kilogram', 'additions', 42, 'skipped', 0, 'duration:', '0:00:00.654142')
