221120-1427 SEARCH COMPLETED.  NAME: waste_digestion_kilogram, Search parameters: AND=['waste', 'digest'] OR=[''] NOT=['somethingyoudontwant'] UNIT=kilogram RESULTS=2 SEARCH TIME=0:00:12.728294
221120-1428 SEARCH COMPLETED.  NAME: waste_digestion_cubic meter, Search parameters: AND=['waste', 'digest'] OR=[''] NOT=['somethingyoudontwant'] UNIT=cubic meter RESULTS=2 SEARCH TIME=0:00:13.631122
221120-1428 SEARCH COMPLETED.  NAME: waste_hazardous_kilogram, Search parameters: AND=['waste'] OR=['hazard', 'radioactiv'] NOT=['somethingyoudontwant'] UNIT=kilogram RESULTS=1221 SEARCH TIME=0:00:14.384078
221120-1428 SEARCH COMPLETED.  NAME: waste_hazardous_cubic meter, Search parameters: AND=['waste'] OR=['hazard', 'radioactiv'] NOT=['somethingyoudontwant'] UNIT=cubic meter RESULTS=384 SEARCH TIME=0:00:14.678323
221120-1428 SEARCH COMPLETED.  NAME: waste_non_hazardous_kilogram, Search parameters: AND=['waste'] OR=[''] NOT=['hazard', 'radioactiv'] UNIT=kilogram RESULTS=24122 SEARCH TIME=0:00:16.390797
221120-1429 SEARCH COMPLETED.  NAME: waste_non_hazardous_cubic meter, Search parameters: AND=['waste'] OR=[''] NOT=['hazard', 'radioactiv'] UNIT=cubic meter RESULTS=2585 SEARCH TIME=0:00:15.594686
221120-1429 SEARCH COMPLETED.  NAME: waste_incineration_kilogram, Search parameters: AND=['waste', 'inciner'] OR=[''] NOT=['somethingyoudontwant'] UNIT=kilogram RESULTS=1435 SEARCH TIME=0:00:14.651963
221120-1429 SEARCH COMPLETED.  NAME: waste_incineration_cubic meter, Search parameters: AND=['waste', 'inciner'] OR=[''] NOT=['somethingyoudontwant'] UNIT=cubic meter RESULTS=1 SEARCH TIME=0:00:13.411154
221120-1429 SEARCH COMPLETED.  NAME: waste_openburn_kilogram, Search parameters: AND=['waste', 'burn'] OR=[''] NOT=['somethingyoudontwant'] UNIT=kilogram RESULTS=548 SEARCH TIME=0:00:14.187481
221120-1430 SEARCH COMPLETED.  NAME: waste_openburn_cubic meter, Search parameters: AND=['waste', 'burn'] OR=[''] NOT=['somethingyoudontwant'] UNIT=cubic meter RESULTS=0 SEARCH TIME=0:00:13.741294
221120-1430 SEARCH COMPLETED.  NAME: waste_recycled_kilogram, Search parameters: AND=['waste', 'recycl'] OR=[''] NOT=['somethingyoudontwant'] UNIT=kilogram RESULTS=42 SEARCH TIME=0:00:13.451090
221120-1430 SEARCH COMPLETED.  NAME: waste_recycled_cubic meter, Search parameters: AND=['waste', 'recycl'] OR=[''] NOT=['somethingyoudontwant'] UNIT=cubic meter RESULTS=0 SEARCH TIME=0:00:13.791486
221120-1430 SEARCH COMPLETED.  NAME: waste_dump_kilogram, Search parameters: AND=['waste'] OR=['landfill', 'opendump', 'underground deposit'] NOT=['somethingyoudontwant'] UNIT=kilogram RESULTS=1132 SEARCH TIME=0:00:14.310574
221120-1431 SEARCH COMPLETED.  NAME: waste_dump_cubic meter, Search parameters: AND=['waste'] OR=['landfill', 'opendump', 'underground deposit'] NOT=['somethingyoudontwant'] UNIT=cubic meter RESULTS=0 SEARCH TIME=0:00:13.679739
221120-1431 SEARCH COMPLETED.  NAME: waste_compost_kilogram, Search parameters: AND=['waste', 'compost'] OR=[''] NOT=['somethingyoudontwant'] UNIT=kilogram RESULTS=8 SEARCH TIME=0:00:13.408399
221120-1431 SEARCH COMPLETED.  NAME: waste_compost_cubic meter, Search parameters: AND=['waste', 'compost'] OR=[''] NOT=['somethingyoudontwant'] UNIT=cubic meter RESULTS=0 SEARCH TIME=0:00:13.666127
221120-1431 SEARCH COMPLETED.  NAME: waste_total_kilogram, Search parameters: AND=['waste'] OR=[''] NOT=['somethingyoudontwant'] UNIT=kilogram RESULTS=25343 SEARCH TIME=0:00:16.151085
221120-1431 SEARCH COMPLETED.  NAME: waste_total_cubic meter, Search parameters: AND=['waste'] OR=[''] NOT=['somethingyoudontwant'] UNIT=cubic meter RESULTS=2969 SEARCH TIME=0:00:15.461279
