('waste_digestion_cubicmeter', 'additions', 2, 'skipped', 0, 'duration:', '0:00:00.026342')
('waste_total_kilogram', 'additions', 25343, 'skipped', 0, 'duration:', '0:04:47.046584')
('waste_total_cubicmeter', 'additions', 2969, 'skipped', 0, 'duration:', '0:00:33.154448')
('waste_digestion_kilogram', 'additions', 2, 'skipped', 0, 'duration:', '0:00:00.022457')
('waste_incineration_cubicmeter', 'additions', 1, 'skipped', 0, 'duration:', '0:00:00.014416')
('waste_hazardous_kilogram', 'additions', 1221, 'skipped', 0, 'duration:', '0:00:13.356298')
('waste_dumped_kilogram', 'additions', 1132, 'skipped', 0, 'duration:', '0:00:12.740887')
('waste_compost_kilogram', 'additions', 8, 'skipped', 0, 'duration:', '0:00:00.088284')
('waste_non-hazardous_kilogram', 'additions', 24122, 'skipped', 0, 'duration:', '0:04:30.300884')
('waste_non-hazardous_cubicmeter', 'additions', 2585, 'skipped', 0, 'duration:', '0:00:28.645728')
('waste_hazardous_cubicmeter', 'additions', 384, 'skipped', 0, 'duration:', '0:00:04.236801')
('waste_incineration_kilogram', 'additions', 1435, 'skipped', 0, 'duration:', '0:00:15.829993')
('waste_recycled_kilogram', 'additions', 42, 'skipped', 0, 'duration:', '0:00:00.450351')
('waste_open-burning_kilogram', 'additions', 548, 'skipped', 0, 'duration:', '0:00:06.189021')
