code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
000b5c070f62af8100dbfdd82f2952eb;market for municipal solid waste;GB;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, sanitary landfill;-0.348271;kilogram;municipal solid waste;0.0;technosphere;RoW
00102acd77763a9f08659a71d56ef060;market for waste polyethylene;IS;waste polyethylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene, unsanitary landfill, wet infiltration class (500mm);-0.928279506522278;kilogram;waste polyethylene;0.0;technosphere;GLO
001bfa21a2ba1e1c4f674709e389ef14;market for waste polyurethane;IE;waste polyurethane;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyurethane, sanitary landfill;-0.254367115822091;kilogram;waste polyurethane;0.0;technosphere;RoW
003e07b22464f869658141b4d0589ef2;rare earth oxides production, from rare earth carbonate concentrate;CN-FJ;yttrium oxide;;[('ISIC rev.4 ecoinvent', '0729:Mining of other non-ferrous metal ores'), ('CPC', '34290: Compounds of rare earth metals, of yttrium or of scandium')];market for hazardous waste, for underground deposit;-0.00325916495823084;kilogram;hazardous waste, for underground deposit;24978.8607129732;technosphere;RoW
0070be6573aef1a895ab41cf08c845d2;paper production, newsprint, virgin;RER;paper, newsprint;;[('ISIC rev.4 ecoinvent', '1701:Manufacture of pulp, paper and paperboard'), ('EcoSpold01Categories', 'paper & cardboard/graphic paper'), ('CPC', '32121: Newsprint')];market for hazardous waste, for underground deposit;-0.00028;kilogram;hazardous waste, for underground deposit;102958.8;technosphere;RER
00c8d2d42e993b6d6b11965999e1027b;market for waste polyethylene terephthalate;FI;waste polyethylene terephthalate;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene terephthalate, sanitary landfill;-0.0552442955999239;kilogram;waste polyethylene terephthalate;0.0;technosphere;RoW
01d6cb8442fe894b509f98be836922de;market for waste polyethylene;AL;waste polyethylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene, unsanitary landfill, wet infiltration class (500mm);-0.765380844923606;kilogram;waste polyethylene;0.0;technosphere;GLO
01ebfdf3bd72f4a0fe17cf84dabe4468;sanitary ceramics production;RoW;sanitary ceramics;;[('ISIC rev.4 ecoinvent', '2392:Manufacture of clay building materials'), ('EcoSpold01Categories', 'construction materials/others'), ('CPC', '373: Refractory products and structural non-refractory clay products')];market for hazardous waste, for underground deposit;-0.000102;kilogram;hazardous waste, for underground deposit;0.000306;technosphere;RoW
02301c4b168abc3a692925142901e7d4;treatment of waste reinforced plasterboard, sorting plant;CH;waste reinforced plasterboard;;[('EcoSpold01Categories', 'waste management/building demolition'), ('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste paperboard, sanitary landfill;-0.15;kilogram;waste paperboard;2.7;technosphere;CH
02301c4b168abc3a692925142901e7d4;treatment of waste reinforced plasterboard, sorting plant;CH;waste reinforced plasterboard;;[('EcoSpold01Categories', 'waste management/building demolition'), ('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste gypsum, sanitary landfill;-0.723;kilogram;waste gypsum;13.014;technosphere;CH
02b61f6fd34209668a4beea7a62c4002;market for waste plastic, mixture;CY;waste plastic, mixture;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste plastic, mixture, unsanitary landfill, wet infiltration class (500mm);-0.986422907233126;kilogram;waste plastic, mixture;0.0;technosphere;GLO
039a6c6da2559a980e7f80d494869ae4;market for waste polystyrene;BR;waste polystyrene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polystyrene, unsanitary landfill, wet infiltration class (500mm);-0.881137422307789;kilogram;waste polystyrene;0.0;technosphere;GLO
03cc7b23081534496aec2b745ce78876;sulfur production, petroleum refinery operation;CO;sulfur;;[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '34520: Sulphur, except sublimed sulphur, precipitated sulphur and colloidal sulphur')];market for hazardous waste, for underground deposit;-3.87367079110867e-06;kilogram;hazardous waste, for underground deposit;134.135515950761;technosphere;RoW
03f22a9dcbc0888e09209bdabe89b024;market for waste wood, untreated;AL;waste wood, untreated;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '3928: Sawdust and wood waste and scrap')];treatment of waste wood, untreated, unsanitary landfill, wet infiltration class (500mm);-0.765380844923606;kilogram;waste wood, untreated;0.0;technosphere;GLO
040d55c3d281dccf9c9c8aacd44e8817;market for waste glass;IE;waste glass;;"[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass')]";treatment of waste glass, sanitary landfill;-0.254367115822091;kilogram;waste glass;0.0;technosphere;GLO
040e89990ed48828ba79f18d2eddeea9;market for waste polyurethane;EE;waste polyurethane;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyurethane, sanitary landfill;-0.125749500669118;kilogram;waste polyurethane;0.0;technosphere;RoW
049cde93622a8252ed72cde9a9f28e86;selective coating, copper sheet, black chrome;RoW;selective coat, copper sheet, black chrome;;"[('EcoSpold01Categories', 'metals/refinement'), ('ISIC rev.4 ecoinvent', '2592:Treatment and coating of metals; machining'), ('CPC', '4151: Semi-finished products of copper or copper alloys')]";market for hazardous waste, for underground deposit;-0.2;kilogram;hazardous waste, for underground deposit;86634.8685714286;technosphere;RoW
04a114cf7aa68c43f6ac2cf98508f313;market for municipal solid waste;RO;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, sanitary landfill;-0.00801799;kilogram;municipal solid waste;0.0;technosphere;RoW
04a114cf7aa68c43f6ac2cf98508f313;market for municipal solid waste;RO;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, unsanitary landfill, dry infiltration class (100mm);-0.238636;kilogram;municipal solid waste;0.0;technosphere;GLO
052a0393dc4f91d9880ded33f2e4d179;market for waste polypropylene;IN;waste polypropylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polypropylene, unsanitary landfill, wet infiltration class (500mm);-0.2105284767503;kilogram;waste polypropylene;0.0;technosphere;GLO
053837543100e15dfa450be22acd4f85;market for waste graphical paper;BR;waste graphical paper;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste graphical paper, unsanitary landfill, wet infiltration class (500mm);-0.881137422307789;kilogram;waste graphical paper;0.0;technosphere;GLO
055f40c5c8850170091358d83b24889b;market for waste wood, untreated;BA;waste wood, untreated;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '3928: Sawdust and wood waste and scrap')];treatment of waste wood, untreated, unsanitary landfill, moist infiltration class (300mm);-0.626603589299052;kilogram;waste wood, untreated;0.0;technosphere;GLO
063eb67f734493907d375dc88b957925;diesel production, low-sulfur, petroleum refinery operation;ZA;diesel, low-sulfur;;[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '33360: Gas oil')];market for hazardous waste, for underground deposit;-0.00011637492869538;kilogram;hazardous waste, for underground deposit;36378.8027101759;technosphere;RoW
0693d150bb10613dda31c7d11e57162c;hydrogen production, gaseous, petroleum refinery operation;ZA;hydrogen, gaseous;;"[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.')]";market for hazardous waste, for underground deposit;-9.28697390254877e-05;kilogram;hazardous waste, for underground deposit;3712.69033343858;technosphere;RoW
06e78355b6e8d486b63d0e74cd4dde63;market for waste polyethylene terephthalate;SI;waste polyethylene terephthalate;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene terephthalate, sanitary landfill;-0.275351353966774;kilogram;waste polyethylene terephthalate;0.0;technosphere;RoW
