code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
00a878a287375684c701355fccca4daf;market for waste polyethylene;MT;waste polyethylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene, municipal incineration;-0.00423728813559322;kilogram;waste polyethylene;0.0;technosphere;RoW
00c320beed077ce832c82841e8047563;sulfate pulp production, from softwood, bleached;RER;bark chips, wet, measured as dry mass;;[('ISIC rev.4 ecoinvent', '1701:Manufacture of pulp, paper and paperboard'), ('CPC', '31230: Wood in chips or particles')];market for hazardous waste, for incineration;-1.6294122971045148e-05;kilogram;hazardous waste, for incineration;0.0;technosphere;Europe without Switzerland
00c320beed077ce832c82841e8047563;sulfate pulp production, from softwood, bleached;RER;bark chips, wet, measured as dry mass;;[('ISIC rev.4 ecoinvent', '1701:Manufacture of pulp, paper and paperboard'), ('CPC', '31230: Wood in chips or particles')];market for hazardous waste, for incineration;-4.2591853522533726e-07;kilogram;hazardous waste, for incineration;0.0;technosphere;CH
018bbb078631e0fad4ff44cfc640bec3;fluorescent whitening agent production, DAS1, triazinylaminostilben type;RER;fluorescent whitening agent, DAS1, triazinylaminostilben type;;"[('EcoSpold01Categories', 'washing agents/auxiliary agents'), ('ISIC rev.4 ecoinvent', '2011:Manufacture of basic chemicals'), ('CPC', '34310: Synthetic organic colouring matter and preparations based thereon; synthetic organic products of a kind used a[…]')]";market for hazardous waste, for incineration;-1.4715349646142287e-09;kilogram;hazardous waste, for incineration;0.0;technosphere;Europe without Switzerland
018bbb078631e0fad4ff44cfc640bec3;fluorescent whitening agent production, DAS1, triazinylaminostilben type;RER;fluorescent whitening agent, DAS1, triazinylaminostilben type;;"[('EcoSpold01Categories', 'washing agents/auxiliary agents'), ('ISIC rev.4 ecoinvent', '2011:Manufacture of basic chemicals'), ('CPC', '34310: Synthetic organic colouring matter and preparations based thereon; synthetic organic products of a kind used a[…]')]";market for hazardous waste, for incineration;-3.846503538577131e-11;kilogram;hazardous waste, for incineration;0.0;technosphere;CH
018e36f9eac3016e9e63265310d346c7;reformate production, petroleum refinery operation;RoW;reformate;;[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '3339: Other petroleum oils n.e.c.')];market for hazardous waste, for incineration;-0.00029069685455710434;kilogram;hazardous waste, for incineration;0.0;technosphere;RoW
018e36f9eac3016e9e63265310d346c7;reformate production, petroleum refinery operation;RoW;reformate;;[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '3339: Other petroleum oils n.e.c.')];market for hazardous waste, for incineration;-3.6541574968027315e-06;kilogram;hazardous waste, for incineration;0.0;technosphere;CH
0198d6eaa02e0a8a7ae6833179221e42;primary zinc production from concentrate;RoW;lead concentrate;;[('ISIC rev.4 ecoinvent', '2420:Manufacture of basic precious and other non-ferrous metals'), ('CPC', '14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)')];market for hazardous waste, for incineration;-0.0006692365237557432;kilogram;hazardous waste, for incineration;0.0;technosphere;RoW
0198d6eaa02e0a8a7ae6833179221e42;primary zinc production from concentrate;RoW;lead concentrate;;[('ISIC rev.4 ecoinvent', '2420:Manufacture of basic precious and other non-ferrous metals'), ('CPC', '14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)')];market for hazardous waste, for incineration;-0.00032183332584405356;kilogram;hazardous waste, for incineration;0.0;technosphere;Europe without Switzerland
0198d6eaa02e0a8a7ae6833179221e42;primary zinc production from concentrate;RoW;lead concentrate;;[('ISIC rev.4 ecoinvent', '2420:Manufacture of basic precious and other non-ferrous metals'), ('CPC', '14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)')];market for hazardous waste, for incineration;-8.412528797885071e-06;kilogram;hazardous waste, for incineration;0.0;technosphere;CH
