('02/25/2023, 00:30:46', ' ', 'cutoff391', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.052822')
('02/25/2023, 00:38:41', ' ', 'cutoff391', 'waste_total_kilogram', 'additions', 26392, 'duration:', '0:07:54.219484')
('02/25/2023, 00:38:49', ' ', 'cutoff391', 'waste_open_burning_kilogram', 'additions', 516, 'duration:', '0:00:08.643590')
('02/25/2023, 00:39:51', ' ', 'cutoff391', 'waste_total_cubicmeter', 'additions', 3698, 'duration:', '0:01:01.719838')
('02/25/2023, 00:39:51', ' ', 'cutoff391', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.016234')
('02/25/2023, 00:39:51', ' ', 'cutoff391', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.037040')
('02/25/2023, 00:39:52', ' ', 'cutoff391', 'waste_recycling_kilogram', 'additions', 42, 'duration:', '0:00:00.680620')
('02/25/2023, 00:40:48', ' ', 'cutoff391', 'waste_non_hazardous_cubicmeter', 'additions', 3421, 'duration:', '0:00:56.549534')
('02/25/2023, 00:41:09', ' ', 'cutoff391', 'waste_landfill_kilogram', 'additions', 1250, 'duration:', '0:00:20.782865')
('02/25/2023, 00:41:09', ' ', 'cutoff391', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.016038')
('02/25/2023, 00:41:33', ' ', 'cutoff391', 'waste_hazardous_kilogram', 'additions', 1431, 'duration:', '0:00:23.648359')
('02/25/2023, 00:41:33', ' ', 'cutoff391', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.138539')
('02/25/2023, 00:41:38', ' ', 'cutoff391', 'waste_radioactive_cubicmeter', 'additions', 277, 'duration:', '0:00:04.620479')
('02/25/2023, 00:48:33', ' ', 'cutoff391', 'waste_non_hazardous_kilogram', 'additions', 24961, 'duration:', '0:06:55.210703')
('02/25/2023, 00:48:37', ' ', 'cutoff391', 'waste_hazardous_cubicmeter', 'additions', 277, 'duration:', '0:00:04.652016')
('02/25/2023, 00:49:01', ' ', 'cutoff391', 'waste_incineration_kilogram', 'additions', 1443, 'duration:', '0:00:23.947103')
('02/25/2023, 01:09:26', ' ', 'apos391', 'waste_total_kilogram', 'additions', 66307, 'duration:', '0:19:04.693436')
('02/25/2023, 01:09:36', ' ', 'apos391', 'waste_open_burning_kilogram', 'additions', 555, 'duration:', '0:00:09.831649')
('02/25/2023, 01:11:39', ' ', 'apos391', 'waste_total_cubicmeter', 'additions', 6905, 'duration:', '0:02:03.100960')
('02/25/2023, 01:11:39', ' ', 'apos391', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.024583')
('02/25/2023, 01:11:39', ' ', 'apos391', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.045765')
('02/25/2023, 01:11:43', ' ', 'apos391', 'waste_recycling_kilogram', 'additions', 232, 'duration:', '0:00:04.042402')
('02/25/2023, 01:13:40', ' ', 'apos391', 'waste_non_hazardous_cubicmeter', 'additions', 6542, 'duration:', '0:01:56.666684')
('02/25/2023, 01:14:16', ' ', 'apos391', 'waste_landfill_kilogram', 'additions', 1923, 'duration:', '0:00:35.573896')
('02/25/2023, 01:14:16', ' ', 'apos391', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.017574')
('02/25/2023, 01:15:09', ' ', 'apos391', 'waste_hazardous_kilogram', 'additions', 2919, 'duration:', '0:00:53.049157')
('02/25/2023, 01:15:09', ' ', 'apos391', 'waste_composting_kilogram', 'additions', 4, 'duration:', '0:00:00.066381')
