code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
004849f1616c1e85bed8383edac4c5e7;treatment of metal part of electronics scrap, in blister-copper, by electrolytic refining;SE;copper;;"[('ISIC rev.4 ecoinvent', '2420:Manufacture of basic precious and other non-ferrous metals'), ('EcoSpold01Categories', 'metals/extraction'), ('CPC', '41413: Refined copper and copper alloys, unwrought; master alloys of copper')]";market for hazardous waste, for underground deposit;-6.90134326587356e-05;kilogram;hazardous waste, for underground deposit;178962.7;technosphere;GLO
004849f1616c1e85bed8383edac4c5e7;treatment of metal part of electronics scrap, in blister-copper, by electrolytic refining;SE;copper;;"[('ISIC rev.4 ecoinvent', '2420:Manufacture of basic precious and other non-ferrous metals'), ('EcoSpold01Categories', 'metals/extraction'), ('CPC', '41413: Refined copper and copper alloys, unwrought; master alloys of copper')]";treatment of municipal solid waste, sanitary landfill;-0.000477708374010279;kilogram;municipal solid waste;367162.08;technosphere;RoW
00859ac279e1ef2a0d49d2ae307840aa;treatment, sludge from pulp and paper production, landfarming;CA-QC;soil pH raising agent, as CaCO3;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];treatment of waste wood, untreated, sanitary landfill;-1.02385161246141e-05;kilogram;waste wood, untreated;4900.68506;technosphere;RoW
00859ac279e1ef2a0d49d2ae307840aa;treatment, sludge from pulp and paper production, landfarming;CA-QC;soil pH raising agent, as CaCO3;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];treatment of inert waste, sanitary landfill;-2.07492656899738e-06;kilogram;inert waste;1018.217898;technosphere;RoW
00859ac279e1ef2a0d49d2ae307840aa;treatment, sludge from pulp and paper production, landfarming;CA-QC;soil pH raising agent, as CaCO3;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];market for hazardous waste, for underground deposit;-1.5913925801554e-05;kilogram;hazardous waste, for underground deposit;17840.6931363571;technosphere;GLO
00859ac279e1ef2a0d49d2ae307840aa;treatment, sludge from pulp and paper production, landfarming;CA-QC;soil pH raising agent, as CaCO3;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];treatment of municipal solid waste, sanitary landfill;-1.79898514958284e-05;kilogram;municipal solid waste;85658.5721187233;technosphere;RoW
00859ac279e1ef2a0d49d2ae307840aa;treatment, sludge from pulp and paper production, landfarming;CA-QC;soil pH raising agent, as CaCO3;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];treatment of municipal solid waste, sanitary landfill;-8.49497599608683e-06;kilogram;municipal solid waste;928018.824;technosphere;CA-QC
00859ac279e1ef2a0d49d2ae307840aa;treatment, sludge from pulp and paper production, landfarming;CA-QC;soil pH raising agent, as CaCO3;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];treatment of waste plastic, mixture, sanitary landfill;-4.53525771525943e-06;kilogram;waste plastic, mixture;1.0;technosphere;RoW
00859ac279e1ef2a0d49d2ae307840aa;treatment, sludge from pulp and paper production, landfarming;CA-QC;soil pH raising agent, as CaCO3;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];treatment of waste graphical paper, sanitary landfill;-1.43937043767468e-06;kilogram;waste graphical paper;1.0;technosphere;RoW
00bf7d8411916cc6335616c4694eb913;market for waste plastic, mixture;CO;waste plastic, mixture;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste plastic, mixture, unsanitary landfill, wet infiltration class (500mm);-0.750923285285251;kilogram;waste plastic, mixture;0.0;technosphere;GLO
