code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
00405e291043a2cb8af6eeaa5aaf215c;treatment of municipal solid waste, incineration;SE;iron scrap, sorted, pressed;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39310: Slag, dross, scalings and other waste from the manufacture of iron or steel')];market for low level radioactive waste for final repository;-1.74964543579083e-12;cubic meter;low level radioactive waste for final repository;66.3597729835357;technosphere;GLO
00405e291043a2cb8af6eeaa5aaf215c;treatment of municipal solid waste, incineration;SE;iron scrap, sorted, pressed;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39310: Slag, dross, scalings and other waste from the manufacture of iron or steel')];market for low level radioactive waste;-6.29777034682068e-10;cubic meter;low level radioactive waste;14.1578944656689;technosphere;GLO
015d449cdbfacb8c65a5df9ff1b5d029;uranium fuel element production, enriched 4%, for light water reactor;RoW;uranium, enriched 4%, in fuel element for light water reactor;;"[('EcoSpold01Categories', 'nuclear power/production'), ('ISIC rev.4 ecoinvent', '2011:Manufacture of basic chemicals'), ('CPC', '33620: Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products[…]')]";market for low level radioactive waste;-0.000332999879436929;cubic meter;low level radioactive waste;460.098881118882;technosphere;GLO
0281a7d064edbfb576a6b8409efb38bf;treatment, sludge from pulp and paper production, landfarming;CA-QC;organo-mineral phosphorus fertiliser, as P2O5;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];market for low level radioactive waste;-2.82303706613104e-09;cubic meter;low level radioactive waste;10.044888285583;technosphere;GLO
0281a7d064edbfb576a6b8409efb38bf;treatment, sludge from pulp and paper production, landfarming;CA-QC;organo-mineral phosphorus fertiliser, as P2O5;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];market for low level radioactive waste for final repository;-1.32317021149083e-08;cubic meter;low level radioactive waste for final repository;47.0797618913237;technosphere;GLO
02eeee11795b8248c29a6193ecbe93f4;rare earth oxides production, from rare earth carbonate concentrate;CN-FJ;lanthanum oxide;;[('ISIC rev.4 ecoinvent', '0729:Mining of other non-ferrous metal ores'), ('CPC', '3429: Compounds of rare earth metals, of yttrium or of scandium')];market for low level radioactive waste;-3.19090374389154e-05;cubic meter;low level radioactive waste;253610.0;technosphere;GLO
034355f24cf0f3907a171fe3c13fc178;treatment of municipal solid waste, incineration;IT;heat, for reuse in municipal waste incineration only;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '17300: Steam and hot water')];market for low level radioactive waste for final repository;-6.5042170115733e-12;cubic meter;low level radioactive waste for final repository;66.3597729835357;technosphere;GLO
034355f24cf0f3907a171fe3c13fc178;treatment of municipal solid waste, incineration;IT;heat, for reuse in municipal waste incineration only;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '17300: Steam and hot water')];market for low level radioactive waste;-5.65486880985858e-11;cubic meter;low level radioactive waste;14.1578944656689;technosphere;GLO
039f8dadbcc9d5db1d0657e93cd656a9;rare earth oxides production, from rare earth carbonate concentrate;CN-FJ;terbium oxide;;[('ISIC rev.4 ecoinvent', '0729:Mining of other non-ferrous metal ores'), ('CPC', '34290: Compounds of rare earth metals, of yttrium or of scandium')];market for low level radioactive waste;-2.03132133750995e-06;cubic meter;low level radioactive waste;253610.0;technosphere;GLO
04206e85e9a918082a9b7017adb07d9b;core board production;RER;core board;;[('ISIC rev.4 ecoinvent', '1701:Manufacture of pulp, paper and paperboard'), ('EcoSpold01Categories', 'paper & cardboard/packaging papers'), ('CPC', '321: Pulp, paper and paperboard')];market for low level radioactive waste for final repository;-2.50505064350953e-08;cubic meter;low level radioactive waste for final repository;96.5104560622915;technosphere;GLO
04206e85e9a918082a9b7017adb07d9b;core board production;RER;core board;;[('ISIC rev.4 ecoinvent', '1701:Manufacture of pulp, paper and paperboard'), ('EcoSpold01Categories', 'paper & cardboard/packaging papers'), ('CPC', '321: Pulp, paper and paperboard')];market for low level radioactive waste;-5.34462668351255e-09;cubic meter;low level radioactive waste;20.590895439377;technosphere;GLO
0431d55da5f53175488798fadff286eb;treatment of municipal solid waste, incineration;BG;heat, for reuse in municipal waste incineration only;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '17300: Steam and hot water')];market for low level radioactive waste for final repository;-1.54703773042904e-13;cubic meter;low level radioactive waste for final repository;66.3597729835357;technosphere;GLO
0431d55da5f53175488798fadff286eb;treatment of municipal solid waste, incineration;BG;heat, for reuse in municipal waste incineration only;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '17300: Steam and hot water')];market for low level radioactive waste;-1.34501899212639e-12;cubic meter;low level radioactive waste;14.1578944656689;technosphere;GLO
04e0feea57409963cf715c783be786a5;electricity production, nuclear, pressure water reactor;FR;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste;-1.80318595716358e-09;cubic meter;low level radioactive waste;721.07335328;technosphere;GLO
04e0feea57409963cf715c783be786a5;electricity production, nuclear, pressure water reactor;FR;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste for final repository;-3.50997266506442e-08;cubic meter;low level radioactive waste for final repository;14035.97754;technosphere;GLO
05a209e99bdf7009ace61dab69894955;uranium production, diffusion, enriched 4.0%;US;uranium, enriched 4.0%, per separative work unit;;"[('ISIC rev.4 ecoinvent', '2011:Manufacture of basic chemicals'), ('EcoSpold01Categories', 'nuclear power/production'), ('CPC', '33620: Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products[…]')]";market for low level radioactive waste;-0.000539999999996415;cubic meter;low level radioactive waste;0.0;technosphere;GLO
0757a5e8714e962326829c3895877587;rare earth oxides production, from rare earth oxide concentrate, 70% REO;CN-SC;lanthanum oxide;;[('ISIC rev.4 ecoinvent', '0729:Mining of other non-ferrous metal ores'), ('CPC', '3429: Compounds of rare earth metals, of yttrium or of scandium')];market for low level radioactive waste for final repository;-3.84102139886978e-05;cubic meter;low level radioactive waste for final repository;231.422118396602;technosphere;GLO
