code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
003e07b22464f869658141b4d0589ef2;rare earth oxides production, from rare earth carbonate concentrate;CN-FJ;yttrium oxide;;[('ISIC rev.4 ecoinvent', '0729:Mining of other non-ferrous metal ores'), ('CPC', '34290: Compounds of rare earth metals, of yttrium or of scandium')];market for hazardous waste, for underground deposit;-0.00325916495823084;kilogram;hazardous waste, for underground deposit;24978.8607129732;technosphere;RoW
004b49474458d236f8635e7936c03ae2;isophthalic acid based unsaturated polyester resin production;RER;isophthalic acid based unsaturated polyester resin;;"[('ISIC rev.4 ecoinvent', '2013:Manufacture of plastics and synthetic rubber in primary forms'), ('CPC', '34740: Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]')]";market for hazardous waste, for incineration;-1.36433705328472e-06;kilogram;hazardous waste, for incineration;210.0;technosphere;Europe without Switzerland
004b49474458d236f8635e7936c03ae2;isophthalic acid based unsaturated polyester resin production;RER;isophthalic acid based unsaturated polyester resin;;"[('ISIC rev.4 ecoinvent', '2013:Manufacture of plastics and synthetic rubber in primary forms'), ('CPC', '34740: Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]')]";market for hazardous waste, for incineration;-3.56629467152847e-08;kilogram;hazardous waste, for incineration;210.0;technosphere;CH
0070be6573aef1a895ab41cf08c845d2;paper production, newsprint, virgin;RER;paper, newsprint;;[('ISIC rev.4 ecoinvent', '1701:Manufacture of pulp, paper and paperboard'), ('EcoSpold01Categories', 'paper & cardboard/graphic paper'), ('CPC', '32121: Newsprint')];market for hazardous waste, for underground deposit;-0.00028;kilogram;hazardous waste, for underground deposit;102958.8;technosphere;RER
00d392ab7e2632f78d884b8d2964ed52;polypropylene production, granulate;RER;polypropylene, granulate;;[('ISIC rev.4 ecoinvent', '2013:Manufacture of plastics and synthetic rubber in primary forms'), ('CPC', '347: Plastics in primary forms')];market for hazardous waste, for incineration;-0.00222600141501264;kilogram;hazardous waste, for incineration;25126065.2260838;technosphere;Europe without Switzerland
00d392ab7e2632f78d884b8d2964ed52;polypropylene production, granulate;RER;polypropylene, granulate;;[('ISIC rev.4 ecoinvent', '2013:Manufacture of plastics and synthetic rubber in primary forms'), ('CPC', '347: Plastics in primary forms')];market for hazardous waste, for incineration;-5.81863328131554e-05;kilogram;hazardous waste, for incineration;25126065.2260838;technosphere;CH
019de172a3eab4d137b917720b3a60ad;electricity production, nuclear, boiling water reactor;TW;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for hazardous waste, for incineration;-8.07850746269e-07;kilogram;hazardous waste, for incineration;19345.8952730105;technosphere;RoW
01ebfdf3bd72f4a0fe17cf84dabe4468;sanitary ceramics production;RoW;sanitary ceramics;;[('ISIC rev.4 ecoinvent', '2392:Manufacture of clay building materials'), ('EcoSpold01Categories', 'construction materials/others'), ('CPC', '373: Refractory products and structural non-refractory clay products')];market for hazardous waste, for underground deposit;-0.000102;kilogram;hazardous waste, for underground deposit;0.000306;technosphere;RoW
033039f82fe8fc224500de22e7478e33;electricity production, nuclear, boiling water reactor;GB;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for hazardous waste, for incineration;-8.73e-07;kilogram;hazardous waste, for incineration;50324.9948832897;technosphere;Europe without Switzerland
03842985bd32dfc7c0e35251a0acfd9a;white lined chipboard carton production;RER;white lined chipboard carton;;[('ISIC rev.4 ecoinvent', '1701:Manufacture of pulp, paper and paperboard'), ('CPC', '32153: Cartons, boxes, cases, record sleeves and other packing containers (except bags) of paper, paperboard, cellulo[…]')];treatment of hazardous waste, hazardous waste incineration;-0.000136491756126312;kilogram;hazardous waste, for incineration;418210.74077102;technosphere;Europe without Switzerland
03842985bd32dfc7c0e35251a0acfd9a;white lined chipboard carton production;RER;white lined chipboard carton;;[('ISIC rev.4 ecoinvent', '1701:Manufacture of pulp, paper and paperboard'), ('CPC', '32153: Cartons, boxes, cases, record sleeves and other packing containers (except bags) of paper, paperboard, cellulo[…]')];treatment of waste mineral oil, hazardous waste incineration;-3.38804932836221e-05;kilogram;waste mineral oil;103809.831421018;technosphere;Europe without Switzerland
03cc7b23081534496aec2b745ce78876;sulfur production, petroleum refinery operation;CO;sulfur;;[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '34520: Sulphur, except sublimed sulphur, precipitated sulphur and colloidal sulphur')];market for hazardous waste, for underground deposit;-3.87367079110867e-06;kilogram;hazardous waste, for underground deposit;134.135515950761;technosphere;RoW
03cc7b23081534496aec2b745ce78876;sulfur production, petroleum refinery operation;CO;sulfur;;[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '34520: Sulphur, except sublimed sulphur, precipitated sulphur and colloidal sulphur')];market for hazardous waste, for incineration;-3.5843488349584e-05;kilogram;hazardous waste, for incineration;1241.17021360778;technosphere;RoW
0476b2af65407d067c44e51ca79c6b1c;electricity production, nuclear, pressure water reactor, heavy water moderated;KR;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('EcoSpold01Categories', 'nuclear power/power plants'), ('CPC', '17100: Electrical energy')];market for hazardous waste, for incineration;-2.36373748609566e-06;kilogram;hazardous waste, for incineration;43265.850945495;technosphere;RoW
049cde93622a8252ed72cde9a9f28e86;selective coating, copper sheet, black chrome;RoW;selective coat, copper sheet, black chrome;;"[('EcoSpold01Categories', 'metals/refinement'), ('ISIC rev.4 ecoinvent', '2592:Treatment and coating of metals; machining'), ('CPC', '4151: Semi-finished products of copper or copper alloys')]";market for hazardous waste, for underground deposit;-0.2;kilogram;hazardous waste, for underground deposit;86634.8685714286;technosphere;RoW
