code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
01f8d1fa36e9b97eae5db14534f30ee2;market for waste plaster-cardboard sandwich;GLO;waste plaster-cardboard sandwich;;[('EcoSpold01Categories', 'waste management/building demolition'), ('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste plaster-cardboard sandwich, recycling;-0.41;kilogram;waste plaster-cardboard sandwich;0.0;technosphere;CH
0f3671e902c03dbdf80e537d6f97efe5;treatment of waste polyethylene, for recycling, unsorted, sorting;RoW;waste polyethylene, for recycling, unsorted;;[('ISIC rev.4 ecoinvent', '3811:Collection of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];market for waste polyethylene, for recycling, sorted;-0.9068441309237072;kilogram;waste polyethylene, for recycling, sorted;0.0;technosphere;RoW
1357823c9189c2fb865f845fa3a4378c;market for waste concrete, not reinforced;CH;waste concrete, not reinforced;;[('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('EcoSpold01Categories', 'waste management/building demolition'), ('CPC', '39: Wastes or scraps')];treatment of waste concrete, not reinforced, recycling;-0.62;kilogram;waste concrete, not reinforced;0.0;technosphere;CH
17ea7b1cffe3e8017934d43ecb04dc11;market for waste reinforced plasterboard;GLO;waste reinforced plasterboard;;[('EcoSpold01Categories', 'waste management/building demolition'), ('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste reinforced plasterboard, recycling;-0.41;kilogram;waste reinforced plasterboard;0.0;technosphere;CH
188ec6564d1a45e30b8fbdca33476e88;market for waste concrete, not reinforced;RoW;waste concrete, not reinforced;;[('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('EcoSpold01Categories', 'waste management/building demolition'), ('CPC', '39: Wastes or scraps')];treatment of waste concrete, not reinforced, recycling;-0.424383935694234;kilogram;waste concrete, not reinforced;0.0;technosphere;RoW
18d36341dc2ecb32adda0eebe810d606;heat transport fluid system construction, solar thermal parabolic trough, 50 MW;ZA;heat transport fluid system, solar thermal parabolic trough, 50 MW;;[('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '54262: General construction services of power plants')];treatment of waste reinforcement steel, recycling;-291996.95;kilogram;waste reinforcement steel;0.0;technosphere;RoW
198bb467262b5beaaf319e0aedd7105f;fish curing, small fish;RoW;fish curing, small fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21242: Fish, otherwise prepared or preserved')];market for waste polyethylene, for recycling, unsorted;-6.276148842296825e-05;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;CH
198bb467262b5beaaf319e0aedd7105f;fish curing, small fish;RoW;fish curing, small fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21242: Fish, otherwise prepared or preserved')];market for waste polyethylene, for recycling, unsorted;-0.002111536949955987;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;RoW
198bb467262b5beaaf319e0aedd7105f;fish curing, small fish;RoW;fish curing, small fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21242: Fish, otherwise prepared or preserved')];market for waste polyethylene, for recycling, unsorted;-0.006321534216156422;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;US
198bb467262b5beaaf319e0aedd7105f;fish curing, small fish;RoW;fish curing, small fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21242: Fish, otherwise prepared or preserved')];market for waste polyethylene, for recycling, unsorted;-0.020854167345464622;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;Europe without Switzerland
1d0e41165c176c86e49c33c45e6930da;polyethylene terephthalate production, granulate, amorphous, recycled;CH;polyethylene terephthalate, granulate, amorphous, recycled;;[('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('CPC', '34710: Polymers of ethylene, in primary forms')];market for waste polyethylene, for recycling, sorted;-0.122;kilogram;waste polyethylene, for recycling, sorted;0.0;technosphere;CH
21384f0afbeca4963ace0d27d88fbcd7;fish freezing, small fish;PE;fish freezing, small fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21222: Fish fillets, frozen')];market for waste polyethylene, for recycling, unsorted;-0.08;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;RoW
226ab4790309e03b711c3291a5c2d1e6;treatment of waste polyethylene terephthalate, for recycling, unsorted, sorting;Europe without Switzerland;waste polyethylene terephthalate, for recycling, unsorted;;[('ISIC rev.4 ecoinvent', '3811:Collection of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];market for waste polyethylene terephthalate, for recycling, sorted;-0.9129999999999983;kilogram;waste polyethylene terephthalate, for recycling, sorted;0.0;technosphere;Europe without Switzerland
2985c68421acf28a955366e3a36efa1a;thermal storage system construction, solar thermal parabolic trough, 50 MW;ZA;thermal storage system, solar thermal parabolic trough, 50 MW;;[('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '54262: General construction services of power plants')];treatment of waste reinforcement steel, recycling;-952793.8;kilogram;waste reinforcement steel;0.0;technosphere;RoW
36e49558263b8a14dce18825f8f00de9;power block installation, solar tower power plant, 20 MW;ZA;power block, solar tower power plant, 20 MW;;[('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '53262: Power plants')];treatment of waste reinforcement steel, recycling;-673069.95;kilogram;waste reinforcement steel;0.0;technosphere;RoW
36ea351be9e52e7ab38170e38e1f8601;market for waste brick;CH;waste brick;;[('EcoSpold01Categories', 'waste management/building demolition'), ('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste brick, recycling;-0.53;kilogram;waste brick;0.0;technosphere;CH
3829d1c4fdd2fdcd17d6268fee8e7f21;polyethylene terephthalate production, granulate, bottle grade, recycled;RoW;polyethylene terephthalate, granulate, bottle grade, recycled;;[('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('CPC', '34710: Polymers of ethylene, in primary forms')];market for waste polyethylene, for recycling, sorted;-0.04066666666666666;kilogram;waste polyethylene, for recycling, sorted;0.0;technosphere;Europe without Switzerland
3829d1c4fdd2fdcd17d6268fee8e7f21;polyethylene terephthalate production, granulate, bottle grade, recycled;RoW;polyethylene terephthalate, granulate, bottle grade, recycled;;[('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('CPC', '34710: Polymers of ethylene, in primary forms')];market for waste polyethylene, for recycling, sorted;-0.04066666666666666;kilogram;waste polyethylene, for recycling, sorted;0.0;technosphere;US
3829d1c4fdd2fdcd17d6268fee8e7f21;polyethylene terephthalate production, granulate, bottle grade, recycled;RoW;polyethylene terephthalate, granulate, bottle grade, recycled;;[('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('CPC', '34710: Polymers of ethylene, in primary forms')];market for waste polyethylene, for recycling, sorted;-0.04066666666666666;kilogram;waste polyethylene, for recycling, sorted;0.0;technosphere;RoW
3d3cc537cebedf70c2693ff39f3389e3;fish freezing, small fish;RoW;fish freezing, small fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21222: Fish fillets, frozen')];market for waste polyethylene, for recycling, unsorted;-0.00017107049655323546;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;CH
3d3cc537cebedf70c2693ff39f3389e3;fish freezing, small fish;RoW;fish freezing, small fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21222: Fish fillets, frozen')];market for waste polyethylene, for recycling, unsorted;-0.005755466984547835;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;RoW
3d3cc537cebedf70c2693ff39f3389e3;fish freezing, small fish;RoW;fish freezing, small fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21222: Fish fillets, frozen')];market for waste polyethylene, for recycling, unsorted;-0.01723075765902943;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;US
3d3cc537cebedf70c2693ff39f3389e3;fish freezing, small fish;RoW;fish freezing, small fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21222: Fish fillets, frozen')];market for waste polyethylene, for recycling, unsorted;-0.0568427048598695;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;Europe without Switzerland
446896624633154ac4e975b1bc1b156f;collector field area construction, solar tower power plant, 20 MW;ZA;collector field area, solar tower power plant, 20 MW;;[('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '53262: Power plants')];treatment of waste reinforcement steel, recycling;-2411953.25;kilogram;waste reinforcement steel;0.0;technosphere;RoW
55dd37b7502b57edb266f84a10282d02;fish canning, large fish;EC;fish canning, large fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '212: Prepared and preserved fish, crustaceans, molluscs and other aquatic invertebrates')];market for waste polyethylene, for recycling, unsorted;-0.01256;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;RoW
