('cutoff38', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.035792')
('cutoff38', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.035786')
('cutoff38', 'waste_total_kilogram', 'additions', 25301, 'duration:', '0:04:41.800598')
('cutoff38', 'waste_total_cubicmeter', 'additions', 2863, 'duration:', '0:00:31.524779')
('cutoff38', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.010958')
('cutoff38', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.021751')
('cutoff38', 'waste_recycling_kilogram', 'additions', 42, 'duration:', '0:00:00.464387')
('cutoff38', 'waste_landfill_kilogram', 'additions', 1132, 'duration:', '0:00:12.293318')
('cutoff38', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.010955')
('cutoff38', 'waste_hazardous_kilogram', 'additions', 1221, 'duration:', '0:00:13.559691')
('cutoff38', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.088005')
('cutoff38', 'waste_non-hazardous_kilogram', 'additions', 24080, 'duration:', '0:04:24.995032')
('cutoff38', 'waste_non-hazardous_cubicmeter', 'additions', 2585, 'duration:', '0:00:28.284099')
('cutoff38', 'waste_hazardous_cubicmeter', 'additions', 278, 'duration:', '0:00:03.046003')
('cutoff38', 'waste_incineration_kilogram', 'additions', 1408, 'duration:', '0:00:15.419741')
('cutoff38', 'waste_open-burning_kilogram', 'additions', 516, 'duration:', '0:00:05.702742')
('cutoff39', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.033440')
('cutoff39', 'waste_total_kilogram', 'additions', 26408, 'duration:', '0:04:53.278584')
('cutoff39', 'waste_total_cubicmeter', 'additions', 3698, 'duration:', '0:00:40.461604')
('cutoff39', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.011197')
('cutoff39', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.026206')
('cutoff39', 'waste_recycling_kilogram', 'additions', 42, 'duration:', '0:00:00.460104')
('cutoff39', 'waste_landfill_kilogram', 'additions', 1251, 'duration:', '0:00:13.690850')
('cutoff39', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.011061')
('cutoff39', 'waste_hazardous_kilogram', 'additions', 1431, 'duration:', '0:00:15.632680')
('cutoff39', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.086439')
('cutoff39', 'waste_non-hazardous_kilogram', 'additions', 24977, 'duration:', '0:05:27.828368')
('cutoff39', 'waste_non-hazardous_cubicmeter', 'additions', 3421, 'duration:', '0:00:56.465779')
('cutoff39', 'waste_hazardous_cubicmeter', 'additions', 277, 'duration:', '0:00:04.619786')
('cutoff39', 'waste_incineration_kilogram', 'additions', 1443, 'duration:', '0:00:23.760756')
('cutoff39', 'waste_open-burning_kilogram', 'additions', 516, 'duration:', '0:00:08.586217')
('con38', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.047541')
('con38', 'waste_total_kilogram', 'additions', 22006, 'duration:', '0:04:02.964457')
('con38', 'waste_total_cubicmeter', 'additions', 2359, 'duration:', '0:00:25.554471')
('con38', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.011543')
('con38', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.020764')
('con38', 'waste_recycling_kilogram', 'additions', 54, 'duration:', '0:00:00.586062')
('con38', 'waste_landfill_kilogram', 'additions', 1053, 'duration:', '0:00:11.503208')
('con38', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.011177')
('con38', 'waste_hazardous_kilogram', 'additions', 949, 'duration:', '0:00:10.337010')
('con38', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.084903')
('con38', 'waste_non-hazardous_kilogram', 'additions', 21057, 'duration:', '0:03:49.883181')
('con38', 'waste_non-hazardous_cubicmeter', 'additions', 2075, 'duration:', '0:00:22.724090')
('con38', 'waste_hazardous_cubicmeter', 'additions', 284, 'duration:', '0:00:03.103505')
('con38', 'waste_incineration_kilogram', 'additions', 1209, 'duration:', '0:00:13.196180')
('con38', 'waste_open-burning_kilogram', 'additions', 559, 'duration:', '0:00:06.142758')
('con39', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.040397')
('con39', 'waste_total_kilogram', 'additions', 23386, 'duration:', '0:04:36.496284')
('con39', 'waste_total_cubicmeter', 'additions', 3058, 'duration:', '0:00:35.328731')
('con39', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.011179')
('con39', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.022449')
('con39', 'waste_recycling_kilogram', 'additions', 57, 'duration:', '0:00:00.625033')
('con39', 'waste_landfill_kilogram', 'additions', 1152, 'duration:', '0:00:12.426015')
('con39', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.010466')
('con39', 'waste_hazardous_kilogram', 'additions', 1133, 'duration:', '0:00:12.449919')
('con39', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.094113')
('con39', 'waste_non-hazardous_kilogram', 'additions', 22253, 'duration:', '0:04:18.888736')
('con39', 'waste_non-hazardous_cubicmeter', 'additions', 2763, 'duration:', '0:00:32.400761')
('con39', 'waste_hazardous_cubicmeter', 'additions', 295, 'duration:', '0:00:03.432177')
('con39', 'waste_incineration_kilogram', 'additions', 1218, 'duration:', '0:00:14.123384')
('con39', 'waste_open-burning_kilogram', 'additions', 559, 'duration:', '0:00:06.457502')
('cutoff38', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.037510')
('cutoff38', 'waste_total_kilogram', 'additions', 25301, 'duration:', '0:08:17.530469')
('cutoff38', 'waste_total_cubicmeter', 'additions', 2863, 'duration:', '0:01:18.450933')
('cutoff38', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.028466')
('cutoff38', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.055511')
('cutoff38', 'waste_recycling_kilogram', 'additions', 42, 'duration:', '0:00:01.266911')
('cutoff38', 'waste_landfill_kilogram', 'additions', 1132, 'duration:', '0:00:33.899957')
('cutoff38', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.033315')
('cutoff38', 'waste_hazardous_kilogram', 'additions', 1221, 'duration:', '0:00:35.423565')
('cutoff38', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.249990')
('cutoff38', 'waste_non-hazardous_kilogram', 'additions', 24080, 'duration:', '0:09:09.820696')
('cutoff38', 'waste_non-hazardous_cubicmeter', 'additions', 2585, 'duration:', '0:00:41.898244')
('cutoff38', 'waste_hazardous_cubicmeter', 'additions', 278, 'duration:', '0:00:04.529610')
('cutoff38', 'waste_incineration_kilogram', 'additions', 1408, 'duration:', '0:00:22.663016')
('cutoff38', 'waste_open-burning_kilogram', 'additions', 516, 'duration:', '0:00:08.415669')
('cutoff39', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.044056')
('cutoff35', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.073480')
('cutoff39', 'waste_total_kilogram', 'additions', 26408, 'duration:', '0:11:38.428550')
('cutoff39', 'waste_total_cubicmeter', 'additions', 3698, 'duration:', '0:02:02.523698')
('cutoff39', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.027269')
('cutoff39', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.084101')
('cutoff39', 'waste_recycling_kilogram', 'additions', 42, 'duration:', '0:00:01.325220')
('cutoff39', 'waste_landfill_kilogram', 'additions', 1251, 'duration:', '0:00:41.232389')
('cutoff39', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.030019')
('cutoff39', 'waste_hazardous_kilogram', 'additions', 1431, 'duration:', '0:00:47.676549')
('cutoff39', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.281131')
('cutoff35', 'waste_total_kilogram', 'additions', 21704, 'duration:', '0:12:07.130827')
('cutoff35', 'waste_total_cubicmeter', 'additions', 2161, 'duration:', '0:01:11.507657')
('cutoff35', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.033711')
('cutoff35', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.073028')
('cutoff35', 'waste_recycling_kilogram', 'additions', 40, 'duration:', '0:00:01.255254')
('cutoff35', 'waste_landfill_kilogram', 'additions', 885, 'duration:', '0:00:29.294301')
('cutoff35', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.034786')
('cutoff35', 'waste_hazardous_kilogram', 'additions', 695, 'duration:', '0:00:23.043674')
('cutoff35', 'waste_composting_kilogram', 'additions', 2, 'duration:', '0:00:00.068803')
('cutoff35', 'waste_non-hazardous_kilogram', 'additions', 21009, 'duration:', '0:11:36.656311')
('cutoff39', 'waste_non-hazardous_kilogram', 'additions', 24977, 'duration:', '0:13:49.702241')
('cutoff35', 'waste_non-hazardous_cubicmeter', 'additions', 1924, 'duration:', '0:01:04.217834')
('cutoff35', 'waste_hazardous_cubicmeter', 'additions', 237, 'duration:', '0:00:07.798498')
('cutoff35', 'waste_incineration_kilogram', 'additions', 1038, 'duration:', '0:00:34.467477')
