code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
0042f7aa53b450d772d519686d3729ef;plywood production, for outdoor use;RoW;wood chips, dry, measured as dry mass;;[('EcoSpold01Categories', 'wooden materials/extraction'), ('ISIC rev.4 ecoinvent', '1621:Manufacture of veneer sheets and wood-based panels'), ('CPC', '31230: Wood in chips or particles')];market for wastewater from plywood production;-0.000514235864028985;cubic meter;wastewater from plywood production;60331453.0026634;technosphere;GLO
004849f1616c1e85bed8383edac4c5e7;treatment of metal part of electronics scrap, in blister-copper, by electrolytic refining;SE;copper;;"[('ISIC rev.4 ecoinvent', '2420:Manufacture of basic precious and other non-ferrous metals'), ('EcoSpold01Categories', 'metals/extraction'), ('CPC', '41413: Refined copper and copper alloys, unwrought; master alloys of copper')]";market for wastewater, from residence;-5.86633358048893e-05;cubic meter;wastewater, from residence;0.299;technosphere;RoW
004849f1616c1e85bed8383edac4c5e7;treatment of metal part of electronics scrap, in blister-copper, by electrolytic refining;SE;copper;;"[('ISIC rev.4 ecoinvent', '2420:Manufacture of basic precious and other non-ferrous metals'), ('EcoSpold01Categories', 'metals/extraction'), ('CPC', '41413: Refined copper and copper alloys, unwrought; master alloys of copper')]";market for wastewater from liquid crystal display production;-0.00074647005765363;cubic meter;wastewater from liquid crystal display production;0.095667;technosphere;GLO
004849f1616c1e85bed8383edac4c5e7;treatment of metal part of electronics scrap, in blister-copper, by electrolytic refining;SE;copper;;"[('ISIC rev.4 ecoinvent', '2420:Manufacture of basic precious and other non-ferrous metals'), ('EcoSpold01Categories', 'metals/extraction'), ('CPC', '41413: Refined copper and copper alloys, unwrought; master alloys of copper')]";market for wastewater, unpolluted;-0.000391124053259678;cubic meter;wastewater, unpolluted;1.62;technosphere;RoW
006cc1234ed3f3aa33fff13af79b72e8;tap water production, conventional with biological treatment;CH;tap water;;[('EcoSpold01Categories', 'water supply/production'), ('ISIC rev.4 ecoinvent', '3600:Water collection, treatment and supply'), ('CPC', '18000: Natural water')];market for wastewater, unpolluted;-4.85882976388521e-05;cubic meter;wastewater, unpolluted;6828300.0;technosphere;RoW
00859ac279e1ef2a0d49d2ae307840aa;treatment, sludge from pulp and paper production, landfarming;CA-QC;soil pH raising agent, as CaCO3;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];market for wastewater, average;-1.01105315334109e-06;cubic meter;wastewater, average;388565.1911925;technosphere;RoW
00859ac279e1ef2a0d49d2ae307840aa;treatment, sludge from pulp and paper production, landfarming;CA-QC;soil pH raising agent, as CaCO3;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];market for wastewater from maize starch production;-3.92792471994313e-09;cubic meter;wastewater from maize starch production;1447.5670425;technosphere;GLO
00859ac279e1ef2a0d49d2ae307840aa;treatment, sludge from pulp and paper production, landfarming;CA-QC;soil pH raising agent, as CaCO3;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];market for wastewater, average;-4.22749825258885e-09;cubic meter;wastewater, average;1412734.4088075;technosphere;CH
00859ac279e1ef2a0d49d2ae307840aa;treatment, sludge from pulp and paper production, landfarming;CA-QC;soil pH raising agent, as CaCO3;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];market for wastewater, average;-3.90779187457205e-08;cubic meter;wastewater, average;1412734.4088075;technosphere;Europe without Switzerland
00859ac279e1ef2a0d49d2ae307840aa;treatment, sludge from pulp and paper production, landfarming;CA-QC;soil pH raising agent, as CaCO3;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];market for wastewater, from residence;-3.52730866850143e-08;cubic meter;wastewater, from residence;21657.8745;technosphere;RoW
