code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
00bf7d8411916cc6335616c4694eb913;market for waste plastic, mixture;CO;waste plastic, mixture;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste plastic, mixture, open burning;-0.0487658869735807;kilogram;waste plastic, mixture;0.0;technosphere;GLO
01a10ddc0af72142ecd7c69220eb5f1e;market for waste polyvinylchloride;AT;waste polyvinylchloride;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyvinylchloride, open burning;-0.000668777328610643;kilogram;waste polyvinylchloride;0.0;technosphere;GLO
01ad6952e7a92a51ee88c425b70f8145;market for waste packaging paper;BE;waste packaging paper;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste packaging paper, open burning;-0.000182090137116258;kilogram;waste packaging paper;0.0;technosphere;GLO
01be09d7cbb76ddb87900cc233b18b20;market for waste polyurethane;ES;waste polyurethane;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyurethane, open burning;-0.0104397907139771;kilogram;waste polyurethane;0.0;technosphere;GLO
020da73d0a24c2145d0b8032896c52f8;market for waste polypropylene;ME;waste polypropylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polypropylene, open burning;-0.0634286239725263;kilogram;waste polypropylene;0.0;technosphere;GLO
03154bd247a5453119f5dd8900f453a9;market for waste paperboard;AT;waste paperboard;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste paperboard, open burning;-0.000668777328610643;kilogram;waste paperboard;0.0;technosphere;GLO
0320620af8396829e857bfd891d1a553;market for waste polyethylene;BE;waste polyethylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene, open burning;-0.000182090137116258;kilogram;waste polyethylene;0.0;technosphere;GLO
04928e76123ee621091fa559184402b3;market for waste polyethylene;IS;waste polyethylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene, open burning;-0.00917395587533919;kilogram;waste polyethylene;0.0;technosphere;GLO
05818a9dfc1236374ebc1b20061d406f;market for waste polystyrene;CY;waste polystyrene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polystyrene, open burning;-0.0135770927668737;kilogram;waste polystyrene;0.0;technosphere;GLO
068ceb43056a770236381af004c46b8d;market for waste polystyrene;BR;waste polystyrene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polystyrene, open burning;-0.0291927726473145;kilogram;waste polystyrene;0.0;technosphere;GLO
07cc42f3eb018c109f97ceedf897fd1e;market for waste polyvinylchloride;FR;waste polyvinylchloride;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyvinylchloride, open burning;-0.00417186912852553;kilogram;waste polyvinylchloride;0.0;technosphere;GLO
081cdf5135430b55ae2b0eacf65336cf;market for waste graphical paper;AT;waste graphical paper;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste graphical paper, open burning;-0.000668777328610643;kilogram;waste graphical paper;0.0;technosphere;GLO
08904e1311e8eddbd05e158e8a088770;market for waste polyethylene terephthalate;BE;waste polyethylene terephthalate;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene terephthalate, open burning;-0.000182090137116258;kilogram;waste polyethylene terephthalate;0.0;technosphere;GLO
