code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
0021f473f4030144875728deebc5e636;C3 hydrocarbon production, mixture, petroleum refinery operation;BR;C3 hydrocarbon mixture;;[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '3342: Ethylene, propylene, butylene, butadiene and other petroleum gases or gaseous hydrocarbons, except natural gas')];market for hazardous waste, for underground deposit;-0.00168492594052543;kilogram;hazardous waste, for underground deposit;1114437.11042271;technosphere;RoW
00405e291043a2cb8af6eeaa5aaf215c;treatment of municipal solid waste, incineration;SE;iron scrap, sorted, pressed;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39310: Slag, dross, scalings and other waste from the manufacture of iron or steel')];market for hazardous waste, for underground deposit;-6.03527322073934e-07;kilogram;hazardous waste, for underground deposit;54569400.1990268;technosphere;RoW
004fcb408396d4c7163b090cd4bad031;market for waste polyvinylchloride;CO;waste polyvinylchloride;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyvinylchloride, unsanitary landfill, wet infiltration class (500mm);-0.750923285285251;kilogram;waste polyvinylchloride;0.0;technosphere;GLO
005f481f6ab87930c17bf9361afaf61c;kerosene production, petroleum refinery operation;RoW;kerosene;;[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '3334: Kerosenes')];market for hazardous waste, for underground deposit;-0.000120089085295636;kilogram;hazardous waste, for underground deposit;20055630.8025504;technosphere;RoW
006c0937e45529ce2d55dc8598fb6d2c;market for waste wood, untreated;FR;waste wood, untreated;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '3928: Sawdust and wood waste and scrap')];treatment of waste wood, untreated, sanitary landfill;-0.380706302185215;kilogram;waste wood, untreated;0.0;technosphere;RoW
012b98b4c9bab1a08b97729d96e4bcd2;diesel production, petroleum refinery operation;RoW;diesel;;[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '33360: Gas oil')];market for hazardous waste, for underground deposit;-0.000119985053033112;kilogram;hazardous waste, for underground deposit;67150319.0623361;technosphere;RoW
0137229d06bf6858c0acf27da763b03b;hydrogen production, gaseous, petroleum refinery operation;PE;hydrogen, gaseous;;"[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.')]";market for hazardous waste, for underground deposit;-9.72632762975796e-05;kilogram;hazardous waste, for underground deposit;2596.76804229415;technosphere;RoW
016bd9b0ad4647a6bff66c62857dae3a;natural gas production;CA-AB;ethane;;[('EcoSpold01Categories', 'natural gas/production'), ('ISIC rev.4 ecoinvent', '0620:Extraction of natural gas'), ('CPC', '34: Basic chemicals')];market for hazardous waste, for underground deposit;-6.82245307736823e-05;kilogram;hazardous waste, for underground deposit;2952390.75913383;technosphere;RoW
01f06244c45e1046f464155f945bde33;market for waste glass;GB;waste glass;;"[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass')]";treatment of waste glass, sanitary landfill;-0.34827130020158;kilogram;waste glass;0.0;technosphere;GLO
022426700bcf235b771f54305f690737;market for waste polyethylene;BG;waste polyethylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene, unsanitary landfill, dry infiltration class (100mm);-0.892349587988298;kilogram;waste polyethylene;0.0;technosphere;GLO
025bcc37635c70fb99f89acdd9a347f1;market for waste graphical paper;CO;waste graphical paper;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste graphical paper, unsanitary landfill, wet infiltration class (500mm);-0.750923285285251;kilogram;waste graphical paper;0.0;technosphere;GLO
0281a7d064edbfb576a6b8409efb38bf;treatment, sludge from pulp and paper production, landfarming;CA-QC;organo-mineral phosphorus fertiliser, as P2O5;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];market for hazardous waste, for underground deposit;-6.22292275318532e-08;kilogram;hazardous waste, for underground deposit;1751094.60681649;technosphere;RER
0281a7d064edbfb576a6b8409efb38bf;treatment, sludge from pulp and paper production, landfarming;CA-QC;organo-mineral phosphorus fertiliser, as P2O5;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];market for hazardous waste, for underground deposit;-3.88969920835715e-05;kilogram;hazardous waste, for underground deposit;1751094.60681649;technosphere;RoW
0281a7d064edbfb576a6b8409efb38bf;treatment, sludge from pulp and paper production, landfarming;CA-QC;organo-mineral phosphorus fertiliser, as P2O5;;[('ISIC rev.4 ecoinvent', '0161:Support activities for crop production'), ('EcoSpold01Categories', 'agricultural means of production/work processes'), ('CPC', '34659: Fertilizers n.e.c.')];treatment of municipal solid waste, sanitary landfill;-3.13744918121684e-05;kilogram;municipal solid waste;928018.824;technosphere;CA-QC
02c1d7bf253927f4d12a2e71a50cd59f;market for municipal solid waste;HR;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, sanitary landfill;-0.266856;kilogram;municipal solid waste;0.0;technosphere;RoW
02c1d7bf253927f4d12a2e71a50cd59f;market for municipal solid waste;HR;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, unsanitary landfill, wet infiltration class (500mm);-0.703137;kilogram;municipal solid waste;0.0;technosphere;GLO
02d86abdde4f388dddfb0a3b7d12d91b;light fuel oil production, petroleum refinery operation;PE;light fuel oil;;[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '33370: Fuel oils n.e.c.')];market for hazardous waste, for underground deposit;-0.000163933077108265;kilogram;hazardous waste, for underground deposit;218103.005700285;technosphere;RoW
02eeee11795b8248c29a6193ecbe93f4;rare earth oxides production, from rare earth carbonate concentrate;CN-FJ;lanthanum oxide;;[('ISIC rev.4 ecoinvent', '0729:Mining of other non-ferrous metal ores'), ('CPC', '3429: Compounds of rare earth metals, of yttrium or of scandium')];market for hazardous waste, for underground deposit;-0.00197954213741419;kilogram;hazardous waste, for underground deposit;24978.8607129732;technosphere;RoW
032e97e569a2e53b4f035161b8049b74;market for waste packaging paper;ES;waste packaging paper;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste packaging paper, sanitary landfill;-0.48017244092358;kilogram;waste packaging paper;0.0;technosphere;GLO
032e97e569a2e53b4f035161b8049b74;market for waste packaging paper;ES;waste packaging paper;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste packaging paper, unsanitary landfill, moist infiltration class (300mm);-0.316017602616586;kilogram;waste packaging paper;0.0;technosphere;GLO
034355f24cf0f3907a171fe3c13fc178;treatment of municipal solid waste, incineration;IT;heat, for reuse in municipal waste incineration only;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '17300: Steam and hot water')];market for hazardous waste, for underground deposit;-2.10653752970342e-07;kilogram;hazardous waste, for underground deposit;54569400.1990268;technosphere;RoW
039f8dadbcc9d5db1d0657e93cd656a9;rare earth oxides production, from rare earth carbonate concentrate;CN-FJ;terbium oxide;;[('ISIC rev.4 ecoinvent', '0729:Mining of other non-ferrous metal ores'), ('CPC', '34290: Compounds of rare earth metals, of yttrium or of scandium')];market for hazardous waste, for underground deposit;-0.000126017157049228;kilogram;hazardous waste, for underground deposit;24978.8607129732;technosphere;RoW
04206e85e9a918082a9b7017adb07d9b;core board production;RER;core board;;[('ISIC rev.4 ecoinvent', '1701:Manufacture of pulp, paper and paperboard'), ('EcoSpold01Categories', 'paper & cardboard/packaging papers'), ('CPC', '321: Pulp, paper and paperboard')];market for hazardous waste, for underground deposit;-0.000146720077558006;kilogram;hazardous waste, for underground deposit;1751094.60681649;technosphere;RER
04206e85e9a918082a9b7017adb07d9b;core board production;RER;core board;;[('ISIC rev.4 ecoinvent', '1701:Manufacture of pulp, paper and paperboard'), ('EcoSpold01Categories', 'paper & cardboard/packaging papers'), ('CPC', '321: Pulp, paper and paperboard')];market for hazardous waste, for underground deposit;-6.5191185628003e-05;kilogram;hazardous waste, for underground deposit;1751094.60681649;technosphere;RoW
04206e85e9a918082a9b7017adb07d9b;core board production;RER;core board;;[('ISIC rev.4 ecoinvent', '1701:Manufacture of pulp, paper and paperboard'), ('EcoSpold01Categories', 'paper & cardboard/packaging papers'), ('CPC', '321: Pulp, paper and paperboard')];treatment of municipal solid waste, sanitary landfill;-0.000388396119869288;kilogram;municipal solid waste;416635873.396067;technosphere;RoW
04206e85e9a918082a9b7017adb07d9b;core board production;RER;core board;;[('ISIC rev.4 ecoinvent', '1701:Manufacture of pulp, paper and paperboard'), ('EcoSpold01Categories', 'paper & cardboard/packaging papers'), ('CPC', '321: Pulp, paper and paperboard')];treatment of waste glass, sanitary landfill;-8.19367588452867e-08;kilogram;waste glass;87894.2691194694;technosphere;GLO
04206e85e9a918082a9b7017adb07d9b;core board production;RER;core board;;[('ISIC rev.4 ecoinvent', '1701:Manufacture of pulp, paper and paperboard'), ('EcoSpold01Categories', 'paper & cardboard/packaging papers'), ('CPC', '321: Pulp, paper and paperboard')];treatment of municipal solid waste, sanitary landfill;-5.19754340588326e-05;kilogram;municipal solid waste;928018.824;technosphere;CA-QC
0431d55da5f53175488798fadff286eb;treatment of municipal solid waste, incineration;BG;heat, for reuse in municipal waste incineration only;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '17300: Steam and hot water')];market for hazardous waste, for underground deposit;-5.01043097611483e-09;kilogram;hazardous waste, for underground deposit;54569400.1990268;technosphere;RoW
043de785ecece8f822c55dc117029bfd;natural gas production;DE;sulfur;;[('EcoSpold01Categories', 'natural gas/production'), ('ISIC rev.4 ecoinvent', '0620:Extraction of natural gas'), ('CPC', '34520: Sulphur, except sublimed sulphur, precipitated sulphur and colloidal sulphur')];market for hazardous waste, for underground deposit;-1.23222053516914e-05;kilogram;hazardous waste, for underground deposit;333221.538461538;technosphere;RER
0454381856492fe779e06d27cc7c9046;market for waste polystyrene;BA;waste polystyrene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polystyrene, unsanitary landfill, moist infiltration class (300mm);-0.626603589299052;kilogram;waste polystyrene;0.0;technosphere;GLO
0561cd6f52d84a8554aa3df8f14b2678;market for waste polyvinylchloride;PE;waste polyvinylchloride;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyvinylchloride, unsanitary landfill, dry infiltration class (100mm);-0.647646040622039;kilogram;waste polyvinylchloride;0.0;technosphere;GLO
05df078ed9676b6ea4ba7a0f74216cba;market for waste glass;ZA;waste glass;;"[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass')]";treatment of waste glass, unsanitary landfill, dry infiltration class (100mm);-0.932741443289229;kilogram;waste glass;0.0;technosphere;GLO
06679d92a2b2923c27ef62214deb2590;market for waste polyurethane;LV;waste polyurethane;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyurethane, sanitary landfill;-0.771745164836253;kilogram;waste polyurethane;0.0;technosphere;RoW
06679d92a2b2923c27ef62214deb2590;market for waste polyurethane;LV;waste polyurethane;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyurethane, unsanitary landfill, moist infiltration class (300mm);-0.0444996764128451;kilogram;waste polyurethane;0.0;technosphere;GLO
066a79e92dcbf7d2603e844d96d5ba1a;market for waste polystyrene;ME;waste polystyrene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polystyrene, unsanitary landfill, wet infiltration class (500mm);-0.667053470151236;kilogram;waste polystyrene;0.0;technosphere;GLO
06ce925032fb0e41ef7017ff9eee7dcb;diesel production, low-sulfur, petroleum refinery operation;PE;diesel, low-sulfur;;[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '33360: Gas oil')];market for hazardous waste, for underground deposit;-0.000176647980452701;kilogram;hazardous waste, for underground deposit;21831.3340673213;technosphere;RoW
06ddce44451c235ba6bf7783bf2cf288;treatment of aluminium scrap, new, at refiner;RoW;iron scrap, unsorted;;[('EcoSpold01Categories', 'metals/extraction'), ('ISIC rev.4 ecoinvent', '2420:Manufacture of basic precious and other non-ferrous metals'), ('CPC', '39310: Slag, dross, scalings and other waste from the manufacture of iron or steel')];market for hazardous waste, for underground deposit;-8.54424988867275e-05;kilogram;hazardous waste, for underground deposit;0.0;technosphere;RoW
