code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
041bcfe4a77c98f45b6b1b97132ecf52;fish freezing, small fish;RoW;fish residues;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21221: Fish fillets and fish meat (whether or not minced), fresh or chilled')];market for waste polyethylene, for recycling, unsorted;-0.006027591455278609;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;US
041bcfe4a77c98f45b6b1b97132ecf52;fish freezing, small fish;RoW;fish residues;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21221: Fish fillets and fish meat (whether or not minced), fresh or chilled')];market for waste polyethylene, for recycling, unsorted;-0.006027591455278609;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;RoW
041bcfe4a77c98f45b6b1b97132ecf52;fish freezing, small fish;RoW;fish residues;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21221: Fish fillets and fish meat (whether or not minced), fresh or chilled')];market for waste polyethylene, for recycling, unsorted;-0.006027591455278609;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;Europe without Switzerland
041bcfe4a77c98f45b6b1b97132ecf52;fish freezing, small fish;RoW;fish residues;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21221: Fish fillets and fish meat (whether or not minced), fresh or chilled')];market for waste polyethylene, for recycling, unsorted;-0.006027591455278609;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;CH
05dfac1304140a5d6caaafc5c87417c3;treatment of waste polyethylene, for recycling, unsorted, sorting;RoW;waste polyethylene, for recycling, sorted;;[('ISIC rev.4 ecoinvent', '3811:Collection of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];market for waste polyethylene, for recycling, unsorted;-0.0017552232374566327;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;US
05dfac1304140a5d6caaafc5c87417c3;treatment of waste polyethylene, for recycling, unsorted, sorting;RoW;waste polyethylene, for recycling, sorted;;[('ISIC rev.4 ecoinvent', '3811:Collection of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];market for waste polyethylene, for recycling, unsorted;-0.00489113908953544;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;RoW
05dfac1304140a5d6caaafc5c87417c3;treatment of waste polyethylene, for recycling, unsorted, sorting;RoW;waste polyethylene, for recycling, sorted;;[('ISIC rev.4 ecoinvent', '3811:Collection of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];market for waste polyethylene, for recycling, unsorted;-0.0017552232374566327;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;Europe without Switzerland
05dfac1304140a5d6caaafc5c87417c3;treatment of waste polyethylene, for recycling, unsorted, sorting;RoW;waste polyethylene, for recycling, sorted;;[('ISIC rev.4 ecoinvent', '3811:Collection of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];market for waste polyethylene, for recycling, unsorted;-0.0017552232374566327;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;CH
060962164b7a07010b444a4c24c1c664;treatment of sewage sludge, 70% water, WWT, WW from glass production, municipal incineration FAE;CH;heat, for reuse in municipal waste incineration only;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '17300: Steam and hot water')];market for waste polyethylene, for recycling, unsorted;-1.5152629834919578e-06;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;US
060962164b7a07010b444a4c24c1c664;treatment of sewage sludge, 70% water, WWT, WW from glass production, municipal incineration FAE;CH;heat, for reuse in municipal waste incineration only;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '17300: Steam and hot water')];market for waste polyethylene, for recycling, unsorted;-2.132170538609221e-06;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;RoW
