code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
0111b5c2e99b9b3d02f8eaa9081824ba;polyethylene production, high density, granulate;RER;polyethylene, high density, granulate;;[('EcoSpold01Categories', 'plastics/polymers'), ('ISIC rev.4 ecoinvent', '2013:Manufacture of plastics and synthetic rubber in primary forms'), ('CPC', '34710: Polymers of ethylene, in primary forms')];market for hazardous waste, for incineration;-0.00485109529824713;kilogram;hazardous waste, for incineration;0.00658262266890114;technosphere;Europe without Switzerland
0111b5c2e99b9b3d02f8eaa9081824ba;polyethylene production, high density, granulate;RER;polyethylene, high density, granulate;;[('EcoSpold01Categories', 'plastics/polymers'), ('ISIC rev.4 ecoinvent', '2013:Manufacture of plastics and synthetic rubber in primary forms'), ('CPC', '34710: Polymers of ethylene, in primary forms')];market for hazardous waste, for incineration;-0.000126804701752868;kilogram;hazardous waste, for incineration;0.00658262266890114;technosphere;CH
01381b4964ce141192a1d2aa8feb2cc8;pipeline construction, natural gas, long distance, high capacity, offshore;GLO;pipeline, natural gas, long distance, high capacity, offshore;;[('EcoSpold01Categories', 'natural gas/production'), ('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '53241: Long-distance pipelines')];market for hazardous waste, for incineration;-363.86;kilogram;hazardous waste, for incineration;1130.0;technosphere;Europe without Switzerland
01381b4964ce141192a1d2aa8feb2cc8;pipeline construction, natural gas, long distance, high capacity, offshore;GLO;pipeline, natural gas, long distance, high capacity, offshore;;[('EcoSpold01Categories', 'natural gas/production'), ('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '53241: Long-distance pipelines')];market for hazardous waste, for incineration;-9.51108068243275;kilogram;hazardous waste, for incineration;1130.0;technosphere;CH
01381b4964ce141192a1d2aa8feb2cc8;pipeline construction, natural gas, long distance, high capacity, offshore;GLO;pipeline, natural gas, long distance, high capacity, offshore;;[('EcoSpold01Categories', 'natural gas/production'), ('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '53241: Long-distance pipelines')];market for hazardous waste, for incineration;-756.628919317567;kilogram;hazardous waste, for incineration;1130.0;technosphere;RoW
01607f55309af440e8154296ecb27553;electricity production, nuclear, pressure water reactor;TW;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for hazardous waste, for incineration;-9.05722891566e-07;kilogram;hazardous waste, for incineration;12724.7877909743;technosphere;RoW
01a10ddc0af72142ecd7c69220eb5f1e;market for waste polyvinylchloride;AT;waste polyvinylchloride;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyvinylchloride, municipal incineration;-0.933487623264238;kilogram;waste polyvinylchloride;0.0;technosphere;RoW
01abcf29e1fe5a25e6dab81fc855007b;electricity production, nuclear, pressure water reactor;NL;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for hazardous waste, for incineration;-9.7e-07;kilogram;hazardous waste, for incineration;3574.256;technosphere;Europe without Switzerland
01be09d7cbb76ddb87900cc233b18b20;market for waste polyurethane;ES;waste polyurethane;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyurethane, municipal incineration;-0.193370165745856;kilogram;waste polyurethane;0.0;technosphere;RoW
02250707b481ee616d06b691bb209fd1;fibreboard production, hard;RER;bark chips, wet, measured as dry mass;;[('ISIC rev.4 ecoinvent', '1621:Manufacture of veneer sheets and wood-based panels'), ('EcoSpold01Categories', 'wooden materials/processing'), ('CPC', '31230: Wood in chips or particles')];market for hazardous waste, for incineration;-1.39505194529085e-05;kilogram;hazardous waste, for incineration;678707.9364;technosphere;Europe without Switzerland
02250707b481ee616d06b691bb209fd1;fibreboard production, hard;RER;bark chips, wet, measured as dry mass;;[('ISIC rev.4 ecoinvent', '1621:Manufacture of veneer sheets and wood-based panels'), ('EcoSpold01Categories', 'wooden materials/processing'), ('CPC', '31230: Wood in chips or particles')];market for hazardous waste, for incineration;-3.64658154450778e-07;kilogram;hazardous waste, for incineration;678707.9364;technosphere;CH
02c9c1aaba1f0e413b5a320a1b7e5a35;energy and auxilliary inputs, metal working factory, with heating from hard coal;RER;energy and auxilliary inputs, metal working factory;;[('EcoSpold01Categories', 'metals/general manufacturing'), ('ISIC rev.4 ecoinvent', '25:Manufacture of fabricated metal products, except machinery and equipment'), ('CPC', '54269: General construction services of other industrial plants')];market for hazardous waste, for incineration;-0.0238758984324825;kilogram;hazardous waste, for incineration;18709741.05;technosphere;Europe without Switzerland
