code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
000b398a877b7049b41798e2efffe0f5;uranium production, centrifuge, enriched 4.2%;DE;uranium, enriched 4.2%, per separative work unit;;"[('ISIC rev.4 ecoinvent', '2011a: Manufacture of nuclear fuels'), ('EcoSpold01Categories', 'nuclear power/production'), ('CPC', '33620: Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products[…]')]";market for low level radioactive waste;-0.00063;cubic meter;low level radioactive waste;358.344;technosphere;GLO
01607f55309af440e8154296ecb27553;electricity production, nuclear, pressure water reactor;TW;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste for final repository;-2.65180722892e-08;cubic meter;low level radioactive waste for final repository;372.560797179761;technosphere;GLO
01607f55309af440e8154296ecb27553;electricity production, nuclear, pressure water reactor;TW;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste;-1.68371084337e-09;cubic meter;low level radioactive waste;23.6549869532413;technosphere;GLO
01abcf29e1fe5a25e6dab81fc855007b;electricity production, nuclear, pressure water reactor;NL;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste;-1.8032e-09;cubic meter;low level radioactive waste;6.64443136;technosphere;GLO
01abcf29e1fe5a25e6dab81fc855007b;electricity production, nuclear, pressure water reactor;NL;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste for final repository;-2.84e-08;cubic meter;low level radioactive waste for final repository;104.64832;technosphere;GLO
038e2ed6f2f1f2b9a2ecef2f0e67bcbc;uranium production, centrifuge, enriched 3.9%;RoW;uranium, enriched 3.9%, per separative work unit;;"[('EcoSpold01Categories', 'nuclear power/production'), ('ISIC rev.4 ecoinvent', '2011a: Manufacture of nuclear fuels'), ('CPC', '33620: Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products[…]')]";market for low level radioactive waste;-0.00063;cubic meter;low level radioactive waste;300.888;technosphere;GLO
07cd655d3271484312b9c418e113a5a6;electricity production, nuclear, pressure water reactor, heavy water moderated;RoW;electricity, high voltage;;[('EcoSpold01Categories', 'nuclear power/power plants'), ('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste;-1.91045606229143e-09;cubic meter;low level radioactive waste;2.06059698929393;technosphere;GLO
07cd655d3271484312b9c418e113a5a6;electricity production, nuclear, pressure water reactor, heavy water moderated;RoW;electricity, high voltage;;[('EcoSpold01Categories', 'nuclear power/power plants'), ('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste for final repository;-8.95439377085651e-09;cubic meter;low level radioactive waste for final repository;9.6581110706294;technosphere;GLO
09689bc917db6a2702cebeb17b9579da;petroleum production, onshore;RME;petroleum;;[('ISIC rev.4 ecoinvent', '0610:Extraction of crude petroleum'), ('EcoSpold01Categories', 'oil/production'), ('CPC', '12010: Petroleum oils and oils obtained from bituminous minerals, crude')];market for low level radioactive waste;-2e-07;cubic meter;low level radioactive waste;236000.0;technosphere;GLO
09e4b2ca2a1fb65aee857f75561b3660;market for low level radioactive waste;GLO;low level radioactive waste;;"[('ISIC rev.4 ecoinvent', '3822:Treatment and disposal of hazardous waste'), ('EcoSpold01Categories', 'nuclear power/waste treatment'), ('CPC', '33690: Other radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures cont[…]')]";treatment of low level radioactive waste, in interim storage;-0.9;cubic meter;low level radioactive waste;90.0;technosphere;CH
09e4b2ca2a1fb65aee857f75561b3660;market for low level radioactive waste;GLO;low level radioactive waste;;"[('ISIC rev.4 ecoinvent', '3822:Treatment and disposal of hazardous waste'), ('EcoSpold01Categories', 'nuclear power/waste treatment'), ('CPC', '33690: Other radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures cont[…]')]";treatment of low level radioactive waste, plasma torch incineration;-0.09;cubic meter;low level radioactive waste;9.0;technosphere;CH
09e4b2ca2a1fb65aee857f75561b3660;market for low level radioactive waste;GLO;low level radioactive waste;;"[('ISIC rev.4 ecoinvent', '3822:Treatment and disposal of hazardous waste'), ('EcoSpold01Categories', 'nuclear power/waste treatment'), ('CPC', '33690: Other radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures cont[…]')]";treatment of low level radioactive waste, surface or trench deposit;-0.01;cubic meter;low level radioactive waste;1.0;technosphere;CH
0a6dbb87980297294d2c18535b50ed7e;electricity production, nuclear, pressure water reactor;BG;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste for final repository;-2.84e-08;cubic meter;low level radioactive waste for final repository;421.39636;technosphere;GLO
0a6dbb87980297294d2c18535b50ed7e;electricity production, nuclear, pressure water reactor;BG;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste;-1.8032e-09;cubic meter;low level radioactive waste;26.75570128;technosphere;GLO
0bb8402d43de22ca2bc2cd15e195ecd5;electricity production, nuclear, boiling water reactor;GB;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste;-1.6568e-08;cubic meter;low level radioactive waste;955.079627979775;technosphere;GLO
0bb8402d43de22ca2bc2cd15e195ecd5;electricity production, nuclear, boiling water reactor;GB;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste for final repository;-4.05e-08;cubic meter;low level radioactive waste for final repository;2334.66471108045;technosphere;GLO
0d0805f0b91811871eae23bc62bfc2d4;electricity production, nuclear, boiling water reactor;RoW;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste for final repository;-4.05e-08;cubic meter;low level radioactive waste for final repository;264.586769176585;technosphere;GLO
0d0805f0b91811871eae23bc62bfc2d4;electricity production, nuclear, boiling water reactor;RoW;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste;-1.6568e-08;cubic meter;low level radioactive waste;124.541766113223;technosphere;GLO
11832a5912b68f0f531ebf990bf59ea7;electricity production, nuclear, boiling water reactor;US-SERC;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste for final repository;-4.05e-08;cubic meter;low level radioactive waste for final repository;3671.0722454535;technosphere;GLO
