code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
003ba30e1374a6ea2cfed3594df32399;cable production, unspecified;GLO;cable, unspecified;;"[('EcoSpold01Categories', 'electronics/component'), ('ISIC rev.4 ecoinvent', '2732:Manufacture of other electronic and electric wires and cables'), ('CPC', '463: Insulated wire and cable; optical fibre cables')]";market for hazardous waste, for incineration;-7.10493e-05;kilogram;hazardous waste, for incineration;0.0008826;technosphere;Europe without Switzerland
003ba30e1374a6ea2cfed3594df32399;cable production, unspecified;GLO;cable, unspecified;;"[('EcoSpold01Categories', 'electronics/component'), ('ISIC rev.4 ecoinvent', '2732:Manufacture of other electronic and electric wires and cables'), ('CPC', '463: Insulated wire and cable; optical fibre cables')]";market for hazardous waste, for incineration;-1.85718579874229e-06;kilogram;hazardous waste, for incineration;0.0008826;technosphere;CH
003ba30e1374a6ea2cfed3594df32399;cable production, unspecified;GLO;cable, unspecified;;"[('EcoSpold01Categories', 'electronics/component'), ('ISIC rev.4 ecoinvent', '2732:Manufacture of other electronic and electric wires and cables'), ('CPC', '463: Insulated wire and cable; optical fibre cables')]";market for hazardous waste, for incineration;-0.000147743514201258;kilogram;hazardous waste, for incineration;0.0008826;technosphere;RoW
0058af82cdce10e512dc11f68a00a8eb;electricity production, nuclear, pressure water reactor;DE;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for hazardous waste, for incineration;-1.02e-06;kilogram;hazardous waste, for incineration;75038.10962943;technosphere;Europe without Switzerland
0099519c238ee9ca640793a9453e2a80;white spirit production, petroleum refinery operation;Europe without Switzerland;white spirit;;[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '33350: White spirit and special boiling point industrial spirits')];market for hazardous waste, for incineration;-0.000297720232046613;kilogram;hazardous waste, for incineration;77120.0784599506;technosphere;Europe without Switzerland
0099519c238ee9ca640793a9453e2a80;white spirit production, petroleum refinery operation;Europe without Switzerland;white spirit;;[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '33350: White spirit and special boiling point industrial spirits')];market for hazardous waste, for underground deposit;-4.84146375141819e-05;kilogram;hazardous waste, for underground deposit;12541.104842076;technosphere;RER
00bec3acc264e3fe703ebd8cfbe3ebd2;naphtha production, petroleum refinery operation;RoW;naphtha;;[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '33330: Naphtha')];market for hazardous waste, for incineration;-0.00029842338149251;kilogram;hazardous waste, for incineration;14105779.3867867;technosphere;CH
00bec3acc264e3fe703ebd8cfbe3ebd2;naphtha production, petroleum refinery operation;RoW;naphtha;;[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '33330: Naphtha')];market for hazardous waste, for underground deposit;-6.4851184762419e-05;kilogram;hazardous waste, for underground deposit;1065802.44074228;technosphere;RoW
0157474c85d074f2fa4764efe9c8ef9f;petroleum slack wax production, petroleum refinery operation;ZA;petroleum slack wax;;"[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '33500: Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, […]')]";market for hazardous waste, for incineration;-0.000341629821881085;kilogram;hazardous waste, for incineration;17869.2932212401;technosphere;RoW
0157474c85d074f2fa4764efe9c8ef9f;petroleum slack wax production, petroleum refinery operation;ZA;petroleum slack wax;;"[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('CPC', '33500: Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, […]')]";market for hazardous waste, for underground deposit;-9.82674083072603e-06;kilogram;hazardous waste, for underground deposit;513.997613986105;technosphere;RoW
0172fa29a2d8ddea6820422b3de41f43;electricity production, nuclear, pressure water reactor, heavy water moderated;AR;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('EcoSpold01Categories', 'nuclear power/power plants'), ('CPC', '17100: Electrical energy')];market for hazardous waste, for incineration;-2.36373748609566e-06;kilogram;hazardous waste, for incineration;12427.6903641102;technosphere;RoW
019ff2c327f8aa272ab8a33fa280f164;thermal storage system construction, solar thermal parabolic trough, 50 MW;RoW;thermal storage system, solar thermal parabolic trough, 50 MW;;[('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '54262: General construction services of power plants')];market for hazardous waste, for incineration;-84029.235530837;kilogram;hazardous waste, for incineration;31078765.2;technosphere;CH
019ff2c327f8aa272ab8a33fa280f164;thermal storage system construction, solar thermal parabolic trough, 50 MW;RoW;thermal storage system, solar thermal parabolic trough, 50 MW;;[('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '54262: General construction services of power plants')];market for hazardous waste, for incineration;-3214658.63460953;kilogram;hazardous waste, for incineration;31078765.2;technosphere;Europe without Switzerland
01b41f26ef60aeb256022156507cd8ed;paper production, woodfree, coated, at integrated mill;RoW;paper, woodfree, coated;;"[('ISIC rev.4 ecoinvent', '1701:Manufacture of pulp, paper and paperboard'), ('EcoSpold01Categories', 'paper & cardboard/graphic paper'), ('CPC', '32113: Mechanical wood pulp; semi-chemical wood pulp; pulps of fibrous cellulosic material other than wood')]";market for hazardous waste, for underground deposit;-4e-05;kilogram;hazardous waste, for underground deposit;578735.531699768;technosphere;RoW
01c01db15e517248d3d0c7cc5194baad;natural gas production;RoW;sulfur;;[('ISIC rev.4 ecoinvent', '0620:Extraction of natural gas'), ('EcoSpold01Categories', 'natural gas/production'), ('CPC', '34520: Sulphur, except sublimed sulphur, precipitated sulphur and colloidal sulphur')];market for hazardous waste, for underground deposit;-1.46204534731235e-05;kilogram;hazardous waste, for underground deposit;54569400.1990268;technosphere;RoW
028450378bffa1dd6bf6f30e057365a6;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RoW;aluminium oxide, non-metallurgical;;[('ISIC rev.4 ecoinvent', '2420:Manufacture of basic precious and other non-ferrous metals'), ('EcoSpold01Categories', 'metals/extraction'), ('CPC', '41432: Alumina (aluminium oxide), except artificial corundum')];market for hazardous waste, for underground deposit;-0.000178958046058992;kilogram;hazardous waste, for underground deposit;6782475.48101449;technosphere;RoW
029a3ebb0984bef6218769a514119708;rare earth oxides production, from rare earth carbonate concentrate;RoW;ytterbium oxide;;[('ISIC rev.4 ecoinvent', '0729:Mining of other non-ferrous metal ores'), ('CPC', '34290: Compounds of rare earth metals, of yttrium or of scandium')];market for hazardous waste, for underground deposit;-0.0029176014921121;kilogram;hazardous waste, for underground deposit;170948.332513844;technosphere;RER
02bb2377164599696b32fa774413539e;fibreboard production, hard;RER;bark chips, wet, measured as dry mass;;[('ISIC rev.4 ecoinvent', '1621:Manufacture of veneer sheets and wood-based panels'), ('CPC', '31230: Wood in chips or particles')];market for hazardous waste, for incineration;-1.39505194529085e-05;kilogram;hazardous waste, for incineration;678707.9364;technosphere;Europe without Switzerland
02bb2377164599696b32fa774413539e;fibreboard production, hard;RER;bark chips, wet, measured as dry mass;;[('ISIC rev.4 ecoinvent', '1621:Manufacture of veneer sheets and wood-based panels'), ('CPC', '31230: Wood in chips or particles')];market for hazardous waste, for incineration;-3.64658154450778e-07;kilogram;hazardous waste, for incineration;678707.9364;technosphere;CH
