code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
0001d63d152662f68f5e85280f79e12f;potassium hydroxide production;RER;potassium hydroxide;;"[('ISIC rev.4 ecoinvent', '2011:Manufacture of basic chemicals'), ('CPC', '34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]')]";market for wastewater, average;-0.000244440751217101;cubic meter;wastewater, average;39180.4906542056;technosphere;Europe without Switzerland
0001d63d152662f68f5e85280f79e12f;potassium hydroxide production;RER;potassium hydroxide;;"[('ISIC rev.4 ecoinvent', '2011:Manufacture of basic chemicals'), ('CPC', '34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]')]";market for wastewater, average;-2.64439069889034e-05;cubic meter;wastewater, average;39180.4906542056;technosphere;CH
001fe0535a7e0dec8b30354a10b62809;biogas production from grass;CH;biogas, from grass;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('EcoSpold01Categories', 'biomass/fuels'), ('CPC', '17200: Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons')];market for wastewater from grass refinery;-0.00126563906064037;cubic meter;wastewater from grass refinery;1168.0;technosphere;CH
003c670e8f081fb347ee8d8f3c8129a2;frozen fish sticks production, hake;RoW;frozen fish sticks, hake;;[('ISIC rev.4 ecoinvent', '1075:Manufacture of prepared meals and dishes')];market for wastewater from vegetable oil refinery;-9.73301649343247e-06;cubic meter;wastewater from vegetable oil refinery;0.7108;technosphere;GLO
0058af82cdce10e512dc11f68a00a8eb;electricity production, nuclear, pressure water reactor;DE;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste;-1.8032e-09;cubic meter;low level radioactive waste;132.655607140969;technosphere;GLO
0058af82cdce10e512dc11f68a00a8eb;electricity production, nuclear, pressure water reactor;DE;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste for final repository;-2.98e-08;cubic meter;low level radioactive waste for final repository;2192.2898695657;technosphere;GLO
0059cf4638ed284ad096abccb76d8406;NPK (26-15-15) fertiliser production;RNA;NPK (26-15-15) fertiliser;;[('ISIC rev.4 ecoinvent', '2012:Manufacture of fertilizers and nitrogen compounds'), ('CPC', '34641: Fertilizers containing three nutrients: nitrogen, phosphorus and potassium')];market for wastewater, average;-0.00036;cubic meter;wastewater, average;169072.44701968;technosphere;RoW
00659af8369d6e9d63e62b23af53937e;basalt quarry operation;RoW;basalt;;[('ISIC rev.4 ecoinvent', '0810:Quarrying of stone, sand and clay'), ('EcoSpold01Categories', 'construction materials/additives'), ('CPC', '15130: Granite, sandstone and other monumental or building stone')];market for wastewater, from residence;-9.6e-08;cubic meter;wastewater, from residence;2.88e-07;technosphere;RoW
00831b8e9feb35b8ffe18401ba6a0853;esterification of vegetable oils and animal fats, average mix;BR;fatty acid methyl ester;;[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('EcoSpold01Categories', 'biomass/fuels'), ('CPC', '35491: Biodiesel')];market for wastewater, average;-4.24956701010929e-05;cubic meter;wastewater, average;226132.794932359;technosphere;RoW
008af00dc2f29b7022939f9867f01a2b;ethanol production from rye;RoW;ethanol, without water, in 95% solution state, from fermentation;;[('EcoSpold01Categories', 'biomass/fuels'), ('ISIC rev.4 ecoinvent', '2011:Manufacture of basic chemicals'), ('CPC', '35491: Biodiesel')];market for wastewater, from residence;-0.00297147996847888;cubic meter;wastewater, from residence;71473.9042421795;technosphere;RoW
00af014cf7a88edef0f9f5e88d11d089;heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;SE;heat, district or industrial, other than natural gas;;[('ISIC rev.4 ecoinvent', '3530:Steam and air conditioning supply'), ('CPC', '17300: Steam and hot water')];market for wastewater, average;-5.89941763678033e-07;cubic meter;wastewater, average;89305.2972;technosphere;Europe without Switzerland
