code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
0033d958b264d27c575076489eaa0be1;market for waste polyvinylchloride;BA;waste polyvinylchloride;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyvinylchloride, open burning;-0.0871242405735605;kilogram;waste polyvinylchloride;0.0;technosphere;GLO
00a878a287375684c701355fccca4daf;market for waste polyethylene;MT;waste polyethylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene, open burning;-0.0150317896138671;kilogram;waste polyethylene;0.0;technosphere;GLO
01bfe9d1caffd3dcd6b9c0a4d657a759;market for waste polyethylene terephthalate;HR;waste polyethylene terephthalate;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene terephthalate, open burning;-0.0205469906849226;kilogram;waste polyethylene terephthalate;0.0;technosphere;GLO
01f5ffc8dddc5828c97efc2a79df4bad;market for waste polyvinylchloride;AL;waste polyvinylchloride;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyvinylchloride, open burning;-0.0589997881455436;kilogram;waste polyvinylchloride;0.0;technosphere;GLO
021a1775733aa5353f9d9bbeb3d42f90;market for waste glass;CY;waste glass;;"[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass')]";treatment of waste glass, open burning;-0.0135770927668737;kilogram;waste glass;0.0;technosphere;GLO
03163e7caa07cd265254ebf3ccec69d3;market for waste polyurethane;GR;waste polyurethane;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyurethane, open burning;-0.015265724881001;kilogram;waste polyurethane;0.0;technosphere;GLO
037510b09c231b81cb4eac9a3f510a24;market for waste polystyrene;RO;waste polystyrene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polystyrene, open burning;-0.113764292129076;kilogram;waste polystyrene;0.0;technosphere;GLO
03e96a62350296e5ccd713f15a11741d;market for waste paperboard;IS;waste paperboard;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste paperboard, open burning;-0.00917395587533919;kilogram;waste paperboard;0.0;technosphere;GLO
04dcbd6a91f6944faaa46c9c264c7b8f;market for waste glass;PL;waste glass;;"[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass')]";treatment of waste glass, open burning;-0.0409099500836998;kilogram;waste glass;0.0;technosphere;GLO
0573ead5b64afde73364aafaaeaa5e52;market for waste wood, untreated;SI;waste wood, untreated;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '3928: Sawdust and wood waste and scrap')];treatment of waste wood, untreated, open burning;-0.00966043946660359;kilogram;waste wood, untreated;0.0;technosphere;GLO
059386f5f7d456940ba7000e82ead380;market for waste wood, untreated;RoW;waste wood, untreated;;[('EcoSpold01Categories', 'waste management/municipal incineration'), ('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '3928: Sawdust and wood waste and scrap')];treatment of waste wood, untreated, open burning;-0.100978573111918;kilogram;waste wood, untreated;0.0;technosphere;GLO
05a200bda59d802005170e2af9f81a67;market for waste paperboard;NO;waste paperboard;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste paperboard, open burning;-0.000986035967648575;kilogram;waste paperboard;0.0;technosphere;GLO
062715ecb49d838279062a01cb3258e2;market for waste polyethylene;FI;waste polyethylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene, open burning;-0.000565773149803462;kilogram;waste polyethylene;0.0;technosphere;GLO
08ccdc9faa41ec23fe4332f190afddb1;market for waste polystyrene;PT;waste polystyrene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polystyrene, open burning;-0.0107372908969953;kilogram;waste polystyrene;0.0;technosphere;GLO
