('cutoff35', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.056077')
('cutoff35', 'waste_total_kilogram', 'additions', 21704, 'duration:', '0:07:04.859421')
('cutoff35', 'waste_open_burning_kilogram', 'additions', 512, 'duration:', '0:00:09.957125')
('cutoff35', 'waste_total_cubicmeter', 'additions', 2161, 'duration:', '0:00:42.789625')
('cutoff35', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.025316')
('cutoff35', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.038036')
('cutoff35', 'waste_recycling_kilogram', 'additions', 40, 'duration:', '0:00:00.798358')
('cutoff35', 'waste_non_hazardous_cubicmeter', 'additions', 1924, 'duration:', '0:00:38.489107')
('cutoff35', 'waste_landfill_kilogram', 'additions', 885, 'duration:', '0:00:17.402885')
('cutoff35', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.018841')
('cutoff35', 'waste_hazardous_kilogram', 'additions', 695, 'duration:', '0:00:14.052359')
('cutoff35', 'waste_composting_kilogram', 'additions', 2, 'duration:', '0:00:00.047332')
('cutoff35', 'waste_radioactive_cubicmeter', 'additions', 237, 'duration:', '0:00:04.600344')
('cutoff35', 'waste_non_hazardous_kilogram', 'additions', 21009, 'duration:', '0:07:00.452855')
('cutoff35', 'waste_hazardous_cubicmeter', 'additions', 237, 'duration:', '0:00:04.788266')
('cutoff35', 'waste_incineration_kilogram', 'additions', 1038, 'duration:', '0:00:20.141159')
('cutoff38', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.051750')
('cutoff38', 'waste_total_kilogram', 'additions', 25301, 'duration:', '0:08:28.102258')
('cutoff38', 'waste_open_burning_kilogram', 'additions', 516, 'duration:', '0:00:10.504140')
('cutoff38', 'waste_total_cubicmeter', 'additions', 2863, 'duration:', '0:00:56.703776')
('cutoff38', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.029193')
('cutoff38', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.039728')
('cutoff38', 'waste_recycling_kilogram', 'additions', 42, 'duration:', '0:00:00.830755')
('cutoff38', 'waste_non_hazardous_cubicmeter', 'additions', 2585, 'duration:', '0:00:51.462822')
('cutoff38', 'waste_landfill_kilogram', 'additions', 1132, 'duration:', '0:00:22.151945')
('cutoff38', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.020961')
('cutoff38', 'waste_hazardous_kilogram', 'additions', 1221, 'duration:', '0:00:24.891553')
('cutoff38', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.163779')
('cutoff38', 'waste_radioactive_cubicmeter', 'additions', 278, 'duration:', '0:00:05.624463')
('cutoff38', 'waste_non_hazardous_kilogram', 'additions', 24080, 'duration:', '0:07:59.802812')
('cutoff38', 'waste_hazardous_cubicmeter', 'additions', 278, 'duration:', '0:00:05.562218')
('cutoff38', 'waste_incineration_kilogram', 'additions', 1408, 'duration:', '0:00:31.230934')
('cutoff39', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.057495')
('cutoff39', 'waste_total_kilogram', 'additions', 26408, 'duration:', '0:08:53.340570')
('cutoff39', 'waste_open_burning_kilogram', 'additions', 516, 'duration:', '0:00:10.041465')
('cutoff39', 'waste_total_cubicmeter', 'additions', 3698, 'duration:', '0:01:13.758317')
('cutoff39', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.020800')
('cutoff39', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.039111')
('cutoff39', 'waste_recycling_kilogram', 'additions', 42, 'duration:', '0:00:00.821756')
('cutoff39', 'waste_non_hazardous_cubicmeter', 'additions', 3421, 'duration:', '0:01:07.851696')
('cutoff39', 'waste_landfill_kilogram', 'additions', 1251, 'duration:', '0:00:24.757020')
('cutoff39', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.020836')
('cutoff39', 'waste_hazardous_kilogram', 'additions', 1431, 'duration:', '0:00:28.277967')
('cutoff39', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.153410')
('cutoff39', 'waste_radioactive_cubicmeter', 'additions', 277, 'duration:', '0:00:05.474623')
('cutoff39', 'waste_non_hazardous_kilogram', 'additions', 24977, 'duration:', '0:08:19.124782')
('cutoff39', 'waste_hazardous_cubicmeter', 'additions', 277, 'duration:', '0:00:05.636574')
('cutoff39', 'waste_incineration_kilogram', 'additions', 1443, 'duration:', '0:00:28.213354')
('cutoff391', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.053722')
('cutoff391', 'waste_total_kilogram', 'additions', 26392, 'duration:', '0:08:50.650091')
('cutoff391', 'waste_open_burning_kilogram', 'additions', 516, 'duration:', '0:00:10.092513')
('cutoff391', 'waste_total_cubicmeter', 'additions', 3698, 'duration:', '0:01:13.371576')
('cutoff391', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.020518')
('cutoff391', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.047958')
('cutoff391', 'waste_recycling_kilogram', 'additions', 42, 'duration:', '0:00:00.817468')
('cutoff391', 'waste_non_hazardous_cubicmeter', 'additions', 3421, 'duration:', '0:01:08.340050')
('cutoff391', 'waste_landfill_kilogram', 'additions', 1250, 'duration:', '0:00:24.901611')
('cutoff391', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.020599')
('cutoff391', 'waste_hazardous_kilogram', 'additions', 1431, 'duration:', '0:00:28.613608')
('cutoff391', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.166375')
('cutoff391', 'waste_radioactive_cubicmeter', 'additions', 277, 'duration:', '0:00:05.671988')
('cutoff391', 'waste_non_hazardous_kilogram', 'additions', 24961, 'duration:', '0:08:17.209607')
('cutoff391', 'waste_hazardous_cubicmeter', 'additions', 277, 'duration:', '0:00:05.457204')
('cutoff391', 'waste_incineration_kilogram', 'additions', 1443, 'duration:', '0:00:28.867156')
('con35', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.039814')
('con35', 'waste_total_kilogram', 'additions', 19321, 'duration:', '0:06:25.559028')
('con35', 'waste_open_burning_kilogram', 'additions', 555, 'duration:', '0:00:11.007421')
('con35', 'waste_total_cubicmeter', 'additions', 1865, 'duration:', '0:00:37.130423')
('con35', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.020598')
('con35', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.040056')
('con35', 'waste_recycling_kilogram', 'additions', 54, 'duration:', '0:00:01.083358')
('con35', 'waste_non_hazardous_cubicmeter', 'additions', 1590, 'duration:', '0:00:31.807689')
('con35', 'waste_landfill_kilogram', 'additions', 899, 'duration:', '0:00:17.605051')
('con35', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.019585')
('con35', 'waste_hazardous_kilogram', 'additions', 581, 'duration:', '0:00:11.631577')
('con35', 'waste_composting_kilogram', 'additions', 2, 'duration:', '0:00:00.041268')
('con35', 'waste_radioactive_cubicmeter', 'additions', 275, 'duration:', '0:00:05.689479')
('con35', 'waste_non_hazardous_kilogram', 'additions', 18740, 'duration:', '0:06:12.888294')
('con35', 'waste_hazardous_cubicmeter', 'additions', 275, 'duration:', '0:00:05.394000')
('con35', 'waste_incineration_kilogram', 'additions', 987, 'duration:', '0:00:19.205196')
('con38', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.048529')
('con38', 'waste_total_kilogram', 'additions', 22006, 'duration:', '0:07:39.729830')
('con38', 'waste_open_burning_kilogram', 'additions', 559, 'duration:', '0:00:11.176847')
('con38', 'waste_total_cubicmeter', 'additions', 2359, 'duration:', '0:00:46.648842')
('con38', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.021249')
('con38', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.040592')
('con38', 'waste_recycling_kilogram', 'additions', 54, 'duration:', '0:00:01.066637')
('con38', 'waste_non_hazardous_cubicmeter', 'additions', 2075, 'duration:', '0:00:40.779677')
('con38', 'waste_landfill_kilogram', 'additions', 1053, 'duration:', '0:00:21.102650')
('con38', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.019455')
('con38', 'waste_hazardous_kilogram', 'additions', 949, 'duration:', '0:00:18.604139')
('con38', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.143691')
('con38', 'waste_radioactive_cubicmeter', 'additions', 284, 'duration:', '0:00:05.634220')
('con38', 'waste_non_hazardous_kilogram', 'additions', 21057, 'duration:', '0:07:00.402727')
('con38', 'waste_hazardous_cubicmeter', 'additions', 284, 'duration:', '0:00:05.621746')
('con38', 'waste_incineration_kilogram', 'additions', 1209, 'duration:', '0:00:24.056384')
('con39', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.062197')
('con39', 'waste_total_kilogram', 'additions', 23386, 'duration:', '0:17:44.792051')
('con39', 'waste_open_burning_kilogram', 'additions', 559, 'duration:', '0:00:10.643868')
('con39', 'waste_total_cubicmeter', 'additions', 3058, 'duration:', '0:00:59.273546')
('con39', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.025141')
('con39', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.038225')
('con39', 'waste_recycling_kilogram', 'additions', 57, 'duration:', '0:00:01.097470')
('con39', 'waste_non_hazardous_cubicmeter', 'additions', 2763, 'duration:', '0:00:53.302036')
('con39', 'waste_landfill_kilogram', 'additions', 1152, 'duration:', '0:00:22.706078')
