('waste_digestion_cubicmeter', 'additions', 2, 'skipped', 0, 'duration:', '0:00:00.027077')
('waste_total_kilogram', 'additions', 22068, 'skipped', 0, 'duration:', '0:04:11.345389')
('waste_total_cubicmeter', 'additions', 2407, 'skipped', 0, 'duration:', '0:00:27.210067')
('waste_digestion_kilogram', 'additions', 2, 'skipped', 0, 'duration:', '0:00:00.021481')
('waste_incineration_cubicmeter', 'additions', 1, 'skipped', 0, 'duration:', '0:00:00.010336')
('waste_hazardous_kilogram', 'additions', 950, 'skipped', 0, 'duration:', '0:00:10.844529')
('waste_dumped_kilogram', 'additions', 1053, 'skipped', 0, 'duration:', '0:00:11.944497')
('waste_compost_kilogram', 'additions', 8, 'skipped', 0, 'duration:', '0:00:00.087115')
('waste_non-hazardous_kilogram', 'additions', 21118, 'skipped', 0, 'duration:', '0:03:58.827830')
('waste_non-hazardous_cubicmeter', 'additions', 2077, 'skipped', 0, 'duration:', '0:00:23.621139')
('waste_hazardous_cubicmeter', 'additions', 330, 'skipped', 0, 'duration:', '0:00:03.713822')
('waste_incineration_kilogram', 'additions', 1237, 'skipped', 0, 'duration:', '0:00:14.099615')
('waste_recycled_kilogram', 'additions', 54, 'skipped', 0, 'duration:', '0:00:00.652456')
('waste_open-burning_kilogram', 'additions', 591, 'skipped', 0, 'duration:', '0:00:06.691402')
