221208-0107 SEARCH COMPLETED.  NAME: waste_digestion_kilogram, Search parameters: AND=['waste', 'digest'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_digestion_kilogram RESULTS=2 SEARCH TIME=0:00:13.013424
221208-0108 SEARCH COMPLETED.  NAME: waste_digestion_cubic meter, Search parameters: AND=['waste', 'digest'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_digestion_cubicmeter RESULTS=2 SEARCH TIME=0:00:13.860222
221208-0108 SEARCH COMPLETED.  NAME: waste_hazardous_kilogram, Search parameters: AND=['waste'] OR=['hazard', 'radioactiv'] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_hazardous_kilogram RESULTS=1221 SEARCH TIME=0:00:14.187626
221208-0108 SEARCH COMPLETED.  NAME: waste_hazardous_cubic meter, Search parameters: AND=['waste'] OR=['hazard', 'radioactiv'] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_hazardous_cubicmeter RESULTS=384 SEARCH TIME=0:00:14.182601
221208-0108 SEARCH COMPLETED.  NAME: waste_non-hazardous_kilogram, Search parameters: AND=['waste'] OR=[''] NOT=['hazard', 'radioactiv'] UNIT=kilogram CODE=waste_non-hazardous_kilogram RESULTS=24122 SEARCH TIME=0:00:14.870604
221208-0109 SEARCH COMPLETED.  NAME: waste_non-hazardous_cubic meter, Search parameters: AND=['waste'] OR=[''] NOT=['hazard', 'radioactiv'] UNIT=cubic meter CODE=waste_non-hazardous_cubicmeter RESULTS=2585 SEARCH TIME=0:00:13.982651
221208-0109 SEARCH COMPLETED.  NAME: waste_incineration_kilogram, Search parameters: AND=['waste', 'inciner'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_incineration_kilogram RESULTS=1435 SEARCH TIME=0:00:14.169460
221208-0109 SEARCH COMPLETED.  NAME: waste_incineration_cubic meter, Search parameters: AND=['waste', 'inciner'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_incineration_cubicmeter RESULTS=1 SEARCH TIME=0:00:13.768366
221208-0109 SEARCH COMPLETED.  NAME: waste_open-burning_kilogram, Search parameters: AND=['waste', 'burn'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_open-burning_kilogram RESULTS=548 SEARCH TIME=0:00:13.789021
221208-0110 SEARCH COMPLETED.  NAME: waste_open-burning_cubic meter, Search parameters: AND=['waste', 'burn'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_open-burning_cubicmeter RESULTS=0 SEARCH TIME=0:00:13.808753
221208-0110 SEARCH COMPLETED.  NAME: waste_recycled_kilogram, Search parameters: AND=['waste', 'recycl'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_recycled_kilogram RESULTS=42 SEARCH TIME=0:00:13.334890
221208-0110 SEARCH COMPLETED.  NAME: waste_recycled_cubic meter, Search parameters: AND=['waste', 'recycl'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_recycled_cubicmeter RESULTS=0 SEARCH TIME=0:00:13.806280
221208-0110 SEARCH COMPLETED.  NAME: waste_dumped_kilogram, Search parameters: AND=['waste'] OR=['landfill', 'opendump', 'underground deposit'] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_dumped_kilogram RESULTS=1132 SEARCH TIME=0:00:13.917650
221208-0110 SEARCH COMPLETED.  NAME: waste_dumped_cubic meter, Search parameters: AND=['waste'] OR=['landfill', 'opendump', 'underground deposit'] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_dumped_cubicmeter RESULTS=0 SEARCH TIME=0:00:13.872490
221208-0111 SEARCH COMPLETED.  NAME: waste_compost_kilogram, Search parameters: AND=['waste', 'compost'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_compost_kilogram RESULTS=8 SEARCH TIME=0:00:13.472300
221208-0111 SEARCH COMPLETED.  NAME: waste_compost_cubic meter, Search parameters: AND=['waste', 'compost'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_compost_cubicmeter RESULTS=0 SEARCH TIME=0:00:13.769458
221208-0111 SEARCH COMPLETED.  NAME: waste_total_kilogram, Search parameters: AND=['waste'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_total_kilogram RESULTS=25343 SEARCH TIME=0:00:14.647897
221208-0111 SEARCH COMPLETED.  NAME: waste_total_cubic meter, Search parameters: AND=['waste'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_total_cubicmeter RESULTS=2969 SEARCH TIME=0:00:14.834790
221208-0126 SEARCH COMPLETED.  NAME: waste_digestion_kilogram, Search parameters: AND=['waste', 'digest'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_digestion_kilogram RESULTS=2 SEARCH TIME=0:00:14.118035
221208-0126 SEARCH COMPLETED.  NAME: waste_digestion_cubic meter, Search parameters: AND=['waste', 'digest'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_digestion_cubicmeter RESULTS=2 SEARCH TIME=0:00:14.967086
221208-0126 SEARCH COMPLETED.  NAME: waste_hazardous_kilogram, Search parameters: AND=['waste'] OR=['hazard', 'radioactiv'] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_hazardous_kilogram RESULTS=1221 SEARCH TIME=0:00:14.823973
221208-0126 SEARCH COMPLETED.  NAME: waste_hazardous_cubic meter, Search parameters: AND=['waste'] OR=['hazard', 'radioactiv'] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_hazardous_cubicmeter RESULTS=384 SEARCH TIME=0:00:15.419396
221208-0127 SEARCH COMPLETED.  NAME: waste_non-hazardous_kilogram, Search parameters: AND=['waste'] OR=[''] NOT=['hazard', 'radioactiv'] UNIT=kilogram CODE=waste_non-hazardous_kilogram RESULTS=24122 SEARCH TIME=0:00:16.074219
221208-0127 SEARCH COMPLETED.  NAME: waste_non-hazardous_cubic meter, Search parameters: AND=['waste'] OR=[''] NOT=['hazard', 'radioactiv'] UNIT=cubic meter CODE=waste_non-hazardous_cubicmeter RESULTS=2585 SEARCH TIME=0:00:15.083565
221208-0127 SEARCH COMPLETED.  NAME: waste_incineration_kilogram, Search parameters: AND=['waste', 'inciner'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_incineration_kilogram RESULTS=1435 SEARCH TIME=0:00:15.212944
221208-0127 SEARCH COMPLETED.  NAME: waste_incineration_cubic meter, Search parameters: AND=['waste', 'inciner'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_incineration_cubicmeter RESULTS=1 SEARCH TIME=0:00:15.033397
221208-0128 SEARCH COMPLETED.  NAME: waste_open-burning_kilogram, Search parameters: AND=['waste', 'burn'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=kilogram CODE=waste_open-burning_kilogram RESULTS=548 SEARCH TIME=0:00:14.720245
221208-0128 SEARCH COMPLETED.  NAME: waste_open-burning_cubic meter, Search parameters: AND=['waste', 'burn'] OR=[''] NOT=['placeholderforsomethingyoudontwant'] UNIT=cubic meter CODE=waste_open-burning_cubicmeter RESULTS=0 SEARCH TIME=0:00:14.930037
