('waste_digestion_cubicmeter', 'additions', 2, 'skipped', 0, 'duration:', '0:00:00.032286')
('waste_total_kilogram', 'additions', 26508, 'skipped', 0, 'duration:', '0:05:03.744476')
('waste_total_cubicmeter', 'additions', 3822, 'skipped', 0, 'duration:', '0:00:43.280914')
('waste_digestion_kilogram', 'additions', 2, 'skipped', 0, 'duration:', '0:00:00.021266')
('waste_incineration_cubicmeter', 'additions', 1, 'skipped', 0, 'duration:', '0:00:00.010742')
('waste_hazardous_kilogram', 'additions', 1440, 'skipped', 0, 'duration:', '0:00:16.247728')
('waste_dumped_kilogram', 'additions', 1251, 'skipped', 0, 'duration:', '0:00:14.244016')
('waste_compost_kilogram', 'additions', 8, 'skipped', 0, 'duration:', '0:00:00.088512')
('waste_non-hazardous_kilogram', 'additions', 25068, 'skipped', 0, 'duration:', '0:04:44.887074')
('waste_non-hazardous_cubicmeter', 'additions', 3421, 'skipped', 0, 'duration:', '0:00:38.733260')
('waste_hazardous_cubicmeter', 'additions', 401, 'skipped', 0, 'duration:', '0:00:04.559310')
('waste_incineration_kilogram', 'additions', 1466, 'skipped', 0, 'duration:', '0:00:16.695574')
('waste_recycled_kilogram', 'additions', 42, 'skipped', 0, 'duration:', '0:00:00.485626')
('waste_open-burning_kilogram', 'additions', 550, 'skipped', 0, 'duration:', '0:00:06.271432')
