,003ba30e1374a6ea2cfed3594df32399,"market for hazardous waste, for incineration",Europe without Switzerland,-7.10493e-05,kilogram,cutoff38,f16ebe0cf00906d23646f15369313fe6,"treatment of low level radioactive waste, plasma torch incineration",CH,-0.09,cubic meter
0,003ba30e1374a6ea2cfed3594df32399,"market for hazardous waste, for incineration",CH,-1.85718579874229e-06,kilogram,cutoff38,,,,,
1,003ba30e1374a6ea2cfed3594df32399,"market for hazardous waste, for incineration",RoW,-0.0001477435142012,kilogram,cutoff38,,,,,
2,0058af82cdce10e512dc11f68a00a8eb,"market for hazardous waste, for incineration",Europe without Switzerland,-1.02e-06,kilogram,cutoff38,,,,,
3,0099519c238ee9ca640793a9453e2a80,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0002977202320466,kilogram,cutoff38,,,,,
4,00bec3acc264e3fe703ebd8cfbe3ebd2,"market for hazardous waste, for incineration",CH,-0.0002984233814925,kilogram,cutoff38,,,,,
5,0157474c85d074f2fa4764efe9c8ef9f,"market for hazardous waste, for incineration",RoW,-0.000341629821881,kilogram,cutoff38,,,,,
6,0172fa29a2d8ddea6820422b3de41f43,"market for hazardous waste, for incineration",RoW,-2.36373748609566e-06,kilogram,cutoff38,,,,,
7,019ff2c327f8aa272ab8a33fa280f164,"market for hazardous waste, for incineration",CH,-84029.235530837,kilogram,cutoff38,,,,,
8,019ff2c327f8aa272ab8a33fa280f164,"market for hazardous waste, for incineration",Europe without Switzerland,-3214658.63460953,kilogram,cutoff38,,,,,
9,028450378bffa1dd6bf6f30e057365a6,"treatment of waste polyethylene, municipal incineration",RoW,-0.0052589035233702,kilogram,cutoff38,,,,,
10,02bb2377164599696b32fa774413539e,"market for hazardous waste, for incineration",Europe without Switzerland,-1.39505194529085e-05,kilogram,cutoff38,,,,,
11,02bb2377164599696b32fa774413539e,"market for hazardous waste, for incineration",CH,-3.64658154450778e-07,kilogram,cutoff38,,,,,
12,03529782c344a8e500b29d6c8494aa8f,"market for hazardous waste, for incineration",RoW,-5.13324837581662e-08,kilogram,cutoff38,,,,,
13,037c6b046b89f8680b0e654ba647f555,"market for hazardous waste, for incineration",RoW,-8.73e-07,kilogram,cutoff38,,,,,
14,03fb950af97b5e3122f967606b3b45fb,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0003489787710462,kilogram,cutoff38,,,,,
15,04398dba3bfafcd8e60eca1d9c6eece3,"market for hazardous waste, for incineration",RoW,-2.36373748609566e-06,kilogram,cutoff38,,,,,
16,04639cd819fdfd1b06c141901e038884,"market for hazardous waste, for incineration",RoW,-0.0022025,kilogram,cutoff38,,,,,
17,0469a53a3ca49a5efa816a1c255b3c5c,"treatment of waste graphical paper, municipal incineration",RoW,-0.256386189641601,kilogram,cutoff38,,,,,
18,0474008e4a615f978fbe005645187eff,"market for hazardous waste, for incineration",Europe without Switzerland,-8.15098325324069e-06,kilogram,cutoff38,,,,,
19,0474008e4a615f978fbe005645187eff,"market for hazardous waste, for incineration",CH,-2.13061780252653e-07,kilogram,cutoff38,,,,,
20,049d6040a514fc9f8ce2caf0be1f8fc3,"market for hazardous waste, for incineration",CH,-2.46233007923548e-07,kilogram,cutoff38,,,,,
21,049d6040a514fc9f8ce2caf0be1f8fc3,"market for hazardous waste, for incineration",Europe without Switzerland,-9.41999602932036e-06,kilogram,cutoff38,,,,,
22,04ac2f998ebf9e6b31c469348a60cf2b,"market for hazardous waste, for incineration",CH,-9.7e-07,kilogram,cutoff38,,,,,
23,04bd14dd92feda9563cca355b97e38c6,"treatment of waste wood, untreated, municipal incineration",RoW,-0.0155584396588576,kilogram,cutoff38,,,,,
24,04be2d9a97459dda4e8cdd2aad8ef57d,"market for hazardous waste, for incineration",RoW,-9.7e-07,kilogram,cutoff38,,,,,
25,04ff8064a1b0d5f326eb2f09146c4e1d,"treatment of waste paperboard, municipal incineration",RoW,-0.648037776664191,kilogram,cutoff38,,,,,
26,0538b42a56d355efd426265947270fb2,"treatment of spent solvent mixture, hazardous waste incineration, with energy recovery",CH,-0.423355686513581,kilogram,cutoff38,,,,,
27,0538b42a56d355efd426265947270fb2,"treatment of spent solvent mixture, hazardous waste incineration",CH,-0.423355686513581,kilogram,cutoff38,,,,,
28,05b45468b16988904cc51aacd218ecd5,"market for hazardous waste, for incineration",Europe without Switzerland,-0.000247155062933,kilogram,cutoff38,,,,,
29,05b45468b16988904cc51aacd218ecd5,"market for hazardous waste, for incineration",CH,-6.46048410000503e-06,kilogram,cutoff38,,,,,
30,05db5556bada566a89299717c00a2c4e,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0014965682550387,kilogram,cutoff38,,,,,
31,05db5556bada566a89299717c00a2c4e,"market for hazardous waste, for incineration",CH,-3.91193904810675e-05,kilogram,cutoff38,,,,,
32,05db5556bada566a89299717c00a2c4e,"market for hazardous waste, for incineration",RoW,-0.0031120398546005,kilogram,cutoff38,,,,,
33,05ea782c0e15bd9d29b6d7712b5aca73,"market for hazardous waste, for incineration",RoW,-1.43151776073593e-05,kilogram,cutoff38,,,,,
34,066bb9c2100cdbec97142cf1f5e6ce2d,"treatment of waste glass, municipal incineration",RoW,-0.980653482373173,kilogram,cutoff38,,,,,
35,06bbfa6588ba3d705ffc5f5f57e83f79,"market for hazardous waste, for incineration",RoW,-1.00351006163531,kilogram,cutoff38,,,,,
36,07ce369a499998148b7ddd0b760e6475,"market for hazardous waste, for incineration",Europe without Switzerland,-1.01245791246e-06,kilogram,cutoff38,,,,,
37,07f368ed348d5f8916f289c13fd2570a,"treatment of waste graphical paper, municipal incineration with fly ash extraction",CH,-0.0155,kilogram,cutoff38,,,,,
38,08093eabc1f20f1d7d65aa7779328a67,"market for hazardous waste, for incineration",RoW,-2.36373748609566e-06,kilogram,cutoff38,,,,,
39,0848065a09110dda8412e2b48219825f,"treatment of hazardous waste, hazardous waste incineration, with energy recovery",CH,-0.5,kilogram,cutoff38,,,,,
40,0848065a09110dda8412e2b48219825f,"treatment of hazardous waste, hazardous waste incineration",CH,-0.5,kilogram,cutoff38,,,,,
41,08b29fb15cd7cc8f1ab142cfab0ea2d9,"market for hazardous waste, for incineration",RoW,-1.90076535231554e-08,kilogram,cutoff38,,,,,
42,08e30af45f04be29900e4b3cf37eebfc,"treatment of waste paint, hazardous waste incineration, with energy recovery",Europe without Switzerland,-0.0849187315662545,kilogram,cutoff38,,,,,
43,08e30af45f04be29900e4b3cf37eebfc,"treatment of waste paint, hazardous waste incineration",Europe without Switzerland,-0.0849187315662545,kilogram,cutoff38,,,,,
44,08e30af45f04be29900e4b3cf37eebfc,"treatment of waste paint, municipal incineration",Europe without Switzerland,-0.301075502825812,kilogram,cutoff38,,,,,
45,08f9d6a2097fafd0af00b1eccc971ba3,"treatment of waste glass, municipal incineration",RoW,-0.987663173459344,kilogram,cutoff38,,,,,
46,09124ef8be75a75a040b48f45c4818e5,"market for hazardous waste, for incineration",Europe without Switzerland,-9.7e-07,kilogram,cutoff38,,,,,
47,092eb9083f5e342bd345817a9483bcaa,"treatment of waste mineral oil, hazardous waste incineration",RoW,-7.26525983637743e-06,kilogram,cutoff38,,,,,
48,096e45cc6412374550a5cf63e8e91c8d,"market for hazardous waste, for incineration",RoW,-0.05764,kilogram,cutoff38,,,,,
49,0a0b23defe26bd950bff10a21f5e1203,"treatment of waste polyethylene terephthalate, municipal incineration",RoW,-0.982431807674526,kilogram,cutoff38,,,,,
50,0a32f0ab3021f3866ff7c48b5897b9b0,"treatment of waste polyurethane, municipal incineration",RoW,-0.0539407403935113,kilogram,cutoff38,,,,,
51,0a336e5d288abfce67b86b8ba8586d86,"market for hazardous waste, for incineration",RoW,-0.0002701056502665,kilogram,cutoff38,,,,,
52,0ab3afc44b98bb8c3e764972e2bde80e,"treatment of waste graphical paper, municipal incineration",RoW,-0.0060783430886987,kilogram,cutoff38,,,,,
53,0afb74f512f4733d13fb62b81ad782d2,"market for hazardous waste, for incineration",RoW,-5567.0,kilogram,cutoff38,,,,,
54,0b836b89396373f954a082d47d573dbf,"market for hazardous waste, for incineration",RoW,-9.39422329336681e-05,kilogram,cutoff38,,,,,
55,0bfc967338bb165aa0ffb6b10b91bb63,"treatment of waste graphical paper, municipal incineration",RoW,-0.0155,kilogram,cutoff38,,,,,
56,0c162b532e03112e9c498b8db2a94b77,"market for hazardous waste, for incineration",RoW,-0.0002964699866325,kilogram,cutoff38,,,,,
57,0c58e2f8038b82596a7f577b1e211c2b,"market for hazardous waste, for incineration",Europe without Switzerland,-9.7e-07,kilogram,cutoff38,,,,,
58,0c8bd5a75f3ad3e07842825e26eb8b8f,"treatment of bilge oil, hazardous waste incineration, with energy recovery",Europe without Switzerland,-0.5,kilogram,cutoff38,,,,,
59,0c8bd5a75f3ad3e07842825e26eb8b8f,"treatment of bilge oil, hazardous waste incineration",Europe without Switzerland,-0.5,kilogram,cutoff38,,,,,
60,0caa408925a9f858d28ac044a80317c6,"market for hazardous waste, for incineration",Europe without Switzerland,-4.60947221047457e-05,kilogram,cutoff38,,,,,
61,0caa408925a9f858d28ac044a80317c6,"market for hazardous waste, for incineration",CH,-1.20488820143064e-06,kilogram,cutoff38,,,,,
62,0ce1c1fd9cbb66c0482e54afa784ab58,"market for hazardous waste, for incineration",RoW,-1148.0,kilogram,cutoff38,,,,,
63,0d14205d66211595da335d22b5215572,"treatment of waste wood, untreated, municipal incineration",RoW,-0.000768036640492,kilogram,cutoff38,,,,,
64,0d405daa3c15241e52303d60f04e45b0,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0003300433597621,kilogram,cutoff38,,,,,
65,0d42abfea9247b427e035fe2754984cc,"treatment of waste graphical paper, municipal incineration",RoW,-0.0155,kilogram,cutoff38,,,,,
66,0d8b321a32b2a1936eb6dbfbbc12bf37,"treatment of waste graphical paper, municipal incineration with fly ash extraction",CH,-0.0155,kilogram,cutoff38,,,,,
67,0df07c34944ad0183bd041d2ad6e34b3,"market for hazardous waste, for incineration",RoW,-0.0019961,kilogram,cutoff38,,,,,
68,0e22398e92062c96dc57528d4fd93dce,"treatment of waste polystyrene, municipal incineration",RoW,-0.61001052803803,kilogram,cutoff38,,,,,
69,0e9a8a745f8b6ea188bfc6144aefa752,"treatment of waste plastic, mixture, municipal incineration",RoW,-0.000168112,kilogram,cutoff38,,,,,
70,0ecaf2fdfb7eb887e6d33757c8600adf,"treatment of waste polyurethane, municipal incineration",RoW,-0.0155584396588576,kilogram,cutoff38,,,,,
71,0ed1d0e414103384a364dc791994dc97,"treatment of waste polyethylene terephthalate, municipal incineration",RoW,-0.0042372881355932,kilogram,cutoff38,,,,,
72,0eec660c83460ecb29b652645abeb5e8,"treatment of waste polyurethane, municipal incineration",RoW,-0.333596559432856,kilogram,cutoff38,,,,,
73,0f32bc6926825c1e28e00c461565d931,"treatment of waste polystyrene, municipal incineration",RoW,-0.000768036640492,kilogram,cutoff38,,,,,
74,0f65a1160d0b81f85dff6ce1746614bb,"treatment of waste polystyrene, municipal incineration",RoW,-0.0625465376023827,kilogram,cutoff38,,,,,
75,0f81713e5cb29eca64403bfa8eb41ea7,"market for process-specific burdens, municipal waste incineration",RoW,5.2756e-05,kilogram,cutoff38,,,,,
76,0f81713e5cb29eca64403bfa8eb41ea7,"treatment of waste graphical paper, municipal incineration",RoW,-0.0155,kilogram,cutoff38,,,,,
77,0f90e3fd4690936c68b32aba1d7d485a,"market for hazardous waste, for incineration",RoW,-6.75213152633498e-05,kilogram,cutoff38,,,,,
78,0f98ae5e2ef59e2cf4be4b9da2a87aae,"market for hazardous waste, for incineration",RoW,-0.019689,kilogram,cutoff38,,,,,
79,0fa34ad3ccc7e283243be0381f591345,"treatment of waste glass, municipal incineration",RoW,-0.247338467815546,kilogram,cutoff38,,,,,
80,0fee609478994156b3544aaad3458d06,"treatment of waste polyethylene, municipal incineration",RoW,-0.000768036640492,kilogram,cutoff38,,,,,
81,1080fa885963d8123edf5be112f4c1c2,"market for hazardous waste, for incineration",Europe without Switzerland,-118.496,kilogram,cutoff38,,,,,
82,1080fa885963d8123edf5be112f4c1c2,"market for hazardous waste, for incineration",CH,-3.0974138859604,kilogram,cutoff38,,,,,
83,1080fa885963d8123edf5be112f4c1c2,"market for hazardous waste, for incineration",RoW,-246.40658611404,kilogram,cutoff38,,,,,
84,10ae7282611d38cf5dd8ca96c56f27db,"treatment of waste plastic, mixture, municipal incineration",RoW,-0.0539407403935113,kilogram,cutoff38,,,,,
